LANGUAGE=GERMAN
ab;from
Quatsch;nonsense
Quittung;receipt
Quizsendung;quiz show
Rad;wheel
Radfahren;cycling
radfahren;to cycle
Radfahrer;cyclist, male cyclist
Radfahrerin;cyclist, female cyclist
Radiergummi;rubber, eraser
Rand;edge
Rang;circle, theatre circle
Rasen;lawn
Rasierapparat;shaver
Raststätte;motorway services
Rat;advice, council
raten;to advise, guess
Rathaus;town hall
Rauch;smoke
rauchen;to smoke
Realschule;secondary technical school
rechnen;to calculate
Rechnung;bill, restaurant bill
Recht;haben to be right
rechts;right, on the right
Rechtsanwalt;lawyer, male lawyer
Rechtsanwältin;lawyer, female lawyer
recyceln;to recycle
Rede;speech
reden;to talk
reduzieren;to reduce
Regal;shelf
Regel;rule
Regen;rain
Regenmantel;raincoat
Regenschirm;umbrella
Regierung;government
regnen;to rain
regnerisch;rainy
reich;rich
reichen;to pass
Reifen;tyre
Reifenpanne;puncture
Reihe;row, row of seats
Reihenhaus;terraced house
Reinigung;dry cleaning
Reise;journey, longer journey
Reisebüro;travel agent's
Reisebus;coach
Reiseführer;tourist guide
reisen;to travel
Reiseziel;destination
reißen;to tear
Reißverschluss;zip
Reiten;horse riding
Reklame;advert
Rennen;race
rennen;to run
Rente;pension
Reparatur;repair
reparieren;to repair
reservieren;to reserve
Retten;to save, rescue
Rettung;rescue
Rezept;prescription, recipe
richtig;right, correct
Richtung;direction
riechen;to smell, to smell something
Riegel;bar, chocolate bar
Rindfleisch;beef
Risiko;risk
Rock;skirt
Rollbrett;skateboard
Roller;scooter
Rollschuh;laufen to roller skate
Rollstuhl;wheelchair
Rolltreppe;escalator
Roman;novel
Röntgenbild;xray, x ray
rosa;pink
Rosenkohl;brussel sprouts
rot;red
Rowdy;lout, hooligan
Rücken;back
Rückfahrt;return journey
rücksichtslos;careless
Rückspiegel;rear-view mirror, rearview mirror
Ruderboot;rowing boat
rudern;to row
rufen;to call, shout
ruhig;quiet
Ruhe;rest, quiet
rund;round, round shaped
Rundfunk;radio
Rundgang, Rundfahrt; guided tour
S-Bahn;suburban railway
Saal, Halle; hall, concert hall
Sache;thing
Saft;juice
sagen;to say, tell
Salbe;cream, ointment
Salz;salt
Salzkartoffeln;boiled potatoes
sammeln;to collect
Sand;sand
Sandburg;sandcastle
sanft;gentle
sanft;soft, gentle
Sänger;singer, male singer
Sängerin;singer, female singer
satt;full up, fed up
sauber;clean
Sauerkraut;pickled cabbage
Schach;chess
Schachtel;box
Schaden;damage
schaden;to do harm
Schaf;sheep
schaffen;to suceed, achieve
Schal;scarf
schälen;to peel
schämen;to be ashamed
scharf;sharp
Schaschlick;kebab
Schatten;shade
Schauer;shower, shower weather
Schaufensterbummel;window shopping
Schauspieler;actor
Schauspielerin;actor, actress
Scheckheft;cheque book
Scheibe;slice
Schein;note, banknote
scheinen;to shine
Scheinwerfer;headlight
schenken;to give, to give a present
Schere;scissors
schick;smart
schicken;to send
schieben;to push
Schiedsrichter;referee
schießen;to shoot
Schiff;ship
Schild;sign
Straßenschild;road sign, street sign
Schildkröte;tortoise
Schinken;ham
Schlafanzug;pyjamas
schlafen;to sleep
Schlafsack;sleeping bag
Schlafzimmer;bedroom
schlagen;to hit
Schläger;racquet, stick, bat
Schlagsahne;whipped cream
Schlagzeug;drums, percussion
Schlange;snake
Schlangestehen;to queue
schlank;slim
schlecht;bad
schließen;to close
abschließen;to lock
Schließfach;locker
schließlich;finally
schlimm;bad
Schlittschuhlaufen;to ice skate
Schloss;castle
Schloss;lock, door lock
schlucken;to swallow
Schlüssel;key
Schlüsselbund;key ring
Schlussverkauf;sale
schmecken;to taste
Schmerzen;pain
schmerzhaft;painful
schminken;to put on make-up, to put on makeup
Schmuck;jewellery
schmücken;to decorate
schmutzig;dirty
Schnaps;schnaps, spirits
Schnee;snow
schneiden;to cut
schneien;to snow
schnell;quick
Schnellimbiss;fast food restaurant
Schnitzel;escalope, schnitzel
Schnupfen;cold
Schokolade;chocolate, chocolate drink
schon;already
schön;beautiful, fine, fine weather
Schornstein;chimney
Schrank;cupboard
schrecklich;terrible
schreiben;to write
Schreibpapier;writing paper
schreien;to shout, to scream
schriftlich;in writing
Schublade;drawer
schüchtern;shy
Schuhe;shoes
schulden;to owe
schuldig;guilty, owing
Schuldirektor;head teacher, male head teacher
Schuldirektorin;head teacher, female head teacher
Schule;school
Schüleraustausch;school exchange
Schulhof;school playground
Schulstunde;lesson
Schulter;shoulder
Schulzeugnis;school report
Schuppen;shed
Schüssel;bowl
schützen;to protect
schwach;weak, poor
Schwager;brother-in-law
Schwägerin;sister-in-law
schwanger;pregnant
schwarz;black
schwarze;Johannisbeere blackcurrant
schweigen;to be silent, to say nothing
Schweinefleisch;pork
schwer;hard, difficult
Schwester;sister
Schwiegermutter;mother-in-law
Schwiegervater;father-in-law
schwierig;difficult
Schwimmbad;swimming pool
schwimmen;to swim
an der See;at the seaside, at the sea-side
seekrank;seasick
segeln;to sail
sehen;to see
sehr;very
Seide;silk
Seife;soap
Seifenoper;soap opera
sein;to be
seitdem;since
Seite;page, side
Sekretär;secretary, male secretary
Sekretärin;secretary, female secretary
Sekunde;second
selbe;same
selbständig;independently
Selbstbedienung;self-service, self service
seltsam;odd, strange
Sendung;programme, TV programme
Senf;mustard
Senioren;senior citizens
Serie;series, TV series
Sessel;armchair
sich langweilen; to be bored
sich rasieren; to shave
sich sonnen; to sunbathe
sicher;certain, sure, certainly, surely
Sicherheit;safety
Sicherheitsgurt;seatbelt
Sieg;win, victory
silber;silver
Silvester;New Year's Eve
singen;to sing
Sitten;customs, traditions
sitzen;to sit
sich setzen;to sit down
Ski;fahren to ski
Skilehrer;ski instructor, male ski instructor
Skilehrerin;ski instructor, female ski instructor
Slip;panties
sobald;as soon as
Socke;sock
Sofa;sofa, settee
sofort;immediately
sogar;even
Sohn;son
Soldat;soldier
Sonderangebot;special offer
Sonne;sun
Sonnenbrand;sunburn
Sonnencreme;sun cream, sun lotion
Sonnenstich;sun stroke
sonnig;sunny
sonst;otherwise
Sorge;worry
sich Sorgen machen;to worry
sorgen;für to look after
Soße;gravy, sauce
Sozialkunde;social science
Sozialwohnung;council house
spannend;exciting
sparen;to save
Spargel;asparagus
Sparkasse;savings bank
Spaß;fun
spät;late
spazierengehen;to go for a walk
Spaziergang;walk
Speck;bacon
Speisekarte;menu
Speisewagen;dining car
Spiegelei;fried egg
Spiel;game, match
Spielfilm;feature film
spielen;to play, to play music, to play sport, to play sports, to play cards
Spieler;player
Spielzeug;toy, toys
Spinat;spinach
Sport;treiben to do sport
Sportplatz;sports ground, school field
sprechen;to speak
Sprechstunde;surgery hours
springen;to jump
Spritze;injection
Sprudel;pop, fizzy drink
Spülbecken;sink
spülen;to wash up
Spülküche;utility room
Spülmaschine;dishwasher
Stadion;stadium
Stadt;town
Partnerstadt;twin town
Stadtrundfahrt;town tour
Stahl;steel
stark;strong
starten;to take off, for a plane to take off
statt;instead of
Stau;hold up, traffic jam, holdup
stechen;to sting
stecken;to put, to put inside something
stehen;to stand
stehlen;to steal
steigen;to climb
Stein;stone
Stelle;place, job
stellen;to put, to place
Steppdecke;duvet
sterben;to die
Stereoanlage;stereo system
Steuerrad;steering wheel
Stich;sting
Stiefel;boot
Stiefmutter;stepmother
Stiefvater;stepfather
Stift;something to write with
Stimme;voice
Stimmung;atmosphere
Stoff;material
stören;to disturb, interrupt
Strand;beach
Straße;street, road
Straßenbahn;tram
Streichhölzer;matches
Streit;argument, quarrel
streng;strict
Strom;electricity
Strumpfhose;tights
Stück;piece, piece of paper, piece of cake
Student;student, male student
Studentin;student, female student
studieren;to study
Stufe;step, stair
Stuhl;chair
stumm;silent, mute
Stunde;hour
Stundenplan;timetable, school timetable
Sturm;storm
stürmisch;stormy
suchen;to look for
Süden;south
Supermarkt;supermarket
Suppe;soup
Surfbrett;surfboard
süß;sweet
Süßigkeiten;sweets
sympathisch;nice
Tablett;tray
Tablette;tablet, pill
Tafel;board, blackboard, whiteboard
Tag;day
Tagebuch;diary
Tageskarte;menu, dish, dish of the day
Tagesschau;TV evening news
täglich;daily
Tal;valley
tanken;to fill up with petrol
Tankstelle;petrol station
Tante;aunt
Tanz;dance
tanzen;to dance
Tapete;wallpaper
Tasche;pocket, bagage
Einkaufstasche;shopping bag
Taschenbuch;paperback
Taschengeld;pocket money
Taschenlampe;torch
Taschenmesser;pocket knife, pen knife
Taschenrechner;calculator
Taschentuch;handkerchief
Tasse;cup
Tastatur;keyboard, computer keyboard
taub;deaf
tauchen;to dive
Technologie;CDT
Tee;tea
Teekanne;teapot, tea pot
Teil;part
teilen;to share
teilnehmen;to take part
Teilzeitarbeit;part time work
Telefonbuch;telephone directory
Telefonzelle;telephone box
Teller;plate
Teppich;carpet
Teppichboden;fitted carpet
Terasse;terrace, patio
Termin;appointment
teuer;expensive, dear
Theater;theatre
Theaterstück;play, theatre play
Theke;counter
tief;deep
Tiefkühltruhe;freezer
Tier;animal
Haustier;pet
Tierarzt;vet, male vet
Tierärztin;vet, female vet
tippen;to type
tippen;to type
Tisch;table
Tischtuch;tablecloth
Toastbrot;toast
Tochter;daughter
Tod;death
Toilettenpapier;toilet paper
toll;great, cool
Topf;saucepan
Tor;gate, goal
ein Tor schießen;to score a goal
tot;dead
töten;to kill
tragen;to carry, wear
Tragödie;tragedy
Trainingsanzug;tracksuit
Traube;grape
Traum;dream
träumen;to dream
traurig;sad
treffen;to meet, to intentionally meet
Treffpunkt;meeting place
Treibhauseffekt;greenhouse effect
Treppe;stairs
trinken;to drink
Trinkgeld;tip, restaurant tip
trocken;dry
trocknen;to dry
Trompete;trumpet
Tropfen;drop, drop of water
Truthahn;turkey
Tuch;cloth
tun;to do
Tür;door
Turnhalle;gymnasium
Turnier;tournament
Turnschuhe;trainers
Tüte;bag
üben;to practise
überall;everywhere
überfahren;to run over
übergeben;to be sick
überholen;to overtake
übermorgen;day after tomorrow
übernachten;to stay the night
überqueren;to cross, to cross a road, to cross the road
überraschen;to surprise
überschwemmen;to flood
übersetzen;to translate
Übersetzung;translation
Flussufer;river bank
Uhr;clock, watch, o'clock
Umfrage;survey
umgeben;von surrounded by
Umkleideraum;changing room
Umleitung;diversion
Umschlag;envelope
umsonst;in vain, free
umsteigen;to change, to change trains
umtauschen;to exchange
Umwelt;environment
und;and
unentschieden;undecided, drawn
Unfall;accident
Universität;university, uni, college
unmöglich;impossible
unordentlich;untidy
Unrecht;haben to be wrong
unten;at the bottom, downstairs
Unterhaltung;entertainment
Unterhose;underpants
Unterkunft;accommodation
Unterricht;lessons
unterrichten;to teach
Unterschied;difference
unterschreiben;to sign
Unterschrift;signature
untersuchen;to examine, to examine a patient
Untertasse;saucer
Untertitel;subtitle
Unterwäsche;underwear
unterwegs;on the way
Urlaub;holiday
Vater;father
Vegetarier;vegetarian, male vegetarian
Vegetarierin;vegetarian, female vegetarian
Verabredung;appointment
veränderlich;changeable
verändern;to change
Veranstaltung;event
Verantwortung;responsibility
Verband;bandage
verbessern;to correct, improve
verbieten;to forbid
verboten;forbidden
Verbindung;connection, train connection
verbinden;to connect
verbrauchen;to consume, to use up
verbringen;to spend, to spend time
verderben;to spoil, to pollute
verdienen;to earn
Verein;club
vergessen;to forget
vergiften;to poison
Vergleich;comparison
vergleichen;to compare
Vergnügen;pleasure
vergrößern;to enlarge
verhaften;to arrest
verheiratet;married
verkaufen;to sell
Verkäufer;sales assistant, male sales assistant
Verkäuferin;sales assistant, female sales assistant
Verkehr;traffic
Verkehrsamt;tourist office
verlassen;to leave, to leave a place
verletzen;to injure
verlieren;to lose
verlobt;engaged
vermeiden;to avoid
vermieten;to rent, to hire, to hire out
vernünftig;sensible, reasonable
Verpackung;packaging
verpassen;to miss, to miss a bus, to miss a train
verrückt;mad
Versammlung;meeting, school assembly
verschieden;different, various
verschmutzen;to pollute
Verschmutzung;pollution
verschwenden;to waste
verschwinden;to disappear
versichern;to insure
Versicherung;insurance
Verspätung;delay
versprechen;to promise
verstauchen;to sprain
verstecken;to hide
verstehen;to understand, to get on with
verstopft;constipated
Versuch;experiment, attempt
versuchen;to try, to try to do something
Vertrauen;trust
Verwandte;relative, relation
Verzeihung;Sorry
viel;a lot, much, many
vielleicht;perhaps
Viertel;a quarter
Vogel;bird
Vokabeln;vocabulary
voll;full
völlig;completely, fully
vor;allem above all
vor;in front of, outside, before
vor;kurzem recently, a short time ago
vorbereiten;to prepare
Vorfahrt;priority, right of way
vorgestern;day before yesterday
vorhaben;to intend, to plan to
Vorhang;curtain
vorher;beforehand, previously
Vorname;first name
vorne;at the front
Vorort;suburb
Vorschlag;suggestion
Vorspeise;starter, first course
vorstellen;to introduce oneself
Vorstellung;performance, introduction
Vorstellungsgespräch;job interview
Vorteil;advantage
Vorwahl;dialling code
vorziehen;to prefer
wachsen;to grow
Wagen;car
wagen;to dare
Wahl;choice
wählen;to choose
wahr;true
während;while
Wald;wood, forest
Wand;wall, interior wall
wandern;to hike
Wanderung;hike
Wange;cheek
warten;auf to wait for
Waschbecken;washbasin
Wäsche;washing
waschen;to wash
Waschküche;utility room, laundry room
Waschlappen;flannel
Waschmaschine;washing machine
Waschpulver;wash powder
Wasser;water
Wasserhahn;tap
wechselhaft;changeable
wechseln;to change
Wecker;alarm clock
Weg, Fußweg;way, path
weggehen;to go away
wegwerfen;to throw away
weiblich;female
Weihnachten;Christmas
weil;because
Wein;wine
Weinberg;vineyard
weinen;to cry, to cry tears
Weinprobe;wine tasting
Weise;way
auf diese Weise;in this way
weiß;white
Weißbrot;white bread
weiter;machen to continue, to carry on doing something, to carry on
Wellensittich;budgerigar
Welt;world
wenig;little
weniger;less
wenigstens;at least
wenn;when, if
Werbung;advertising
werden;to become, get
werfen;to throw
Werkstatt;repair workshop, garage
Werkzeug;implement
Werkzeug;tools
wertvoll, wertlos;valuable, worthless
Wespe;wasp
Westen;west
Wettbewerb;competition
Wetter;weather
Wettkampf;competition
wichtig;important
wie;as, like
Wie bitte?;pardon?
Wie geht's? how are you?
wieder;again
wieder;verwerten to recycle
wiederholen;to repeat
wiegen;to weigh
Wiese;field, meadow
willkommen;welcome
windig;windy
Windschutzscheibe;windscreen
windsurfen;to windsurf
Wintergarten;conservatory
winzig;tiny
wirklich;really
wissen;to know, to know facts
Witwe;widow
Witwer;widower
Woche;week
Wochenende;weekend
Wohnblock;block of flats
wohnen;to live
Wohnung;flat
Wohnwagen;caravan
Wohnzimmer;living room
Wolke;cloud
wolkig;cloudy
Wolle;wool
wollen;to want to
Wort;word
Wörterbuch;dictionary
Wunde;wound
wunderbar;wonderful
Wunsch;wish
wünschen;to wish
Wurst;sausage
Zahl;figure, number
zählen;to count
zahlen;to pay, to pay the bill
Zahn;tooth
Zahnschmerzen;toothache, tooth ache
Zahnarzt, Zahnärztin;dentist
Zahnbürste;toothbrush
Zahnpasta;toothpaste
Zebrastreifen;zebra crossing
Zeh;toe
Zeichentrickfilm;cartoon
zeichnen;to draw
zeigen;to show
Zeit;time
Zeitschrift;magazine
Zeitung;newspaper
Zelt;tent
zelten;to camp
Zentrum;centre
zerstören;to destroy
Zettel;note, piece of paper
Zeuge;witness
ziehen;to pull
Ziel;aim
ziemlich;quite, fairly
Zigarette;cigarette
Zimmer;room
Zimmermädchen;maid
Zitrone;lemon
Zoll;customs
zornig;angry
Zucker;sugar
zuerst;at first
Zufall;chance
zufrieden;contented
Zug;train
Zugführer;train driver
zuhören;to listen to
Zukunft;future
zum Mitnehmen;take away meals
zumachen;to close
zunehmen;to grow, get bigger, increase
zunehmen;to put on weight, increase
Zunge;tongue
zurück;back
zurückkommen;to return, to come, to go back
zusammen;together
zusammenstoßen;mit to collide with
zusätzlich;additional
Zuschauer;audience, viewers
zwar;indeed
Zwiebel;onion
Zwillinge;twins
