LANGUAGE=FRENCH
rouge;red
la cartouche d'encre;ink cartridge
la boîte de réception;inbox
le fichier;file
la pièce jointe;attachment
le nom d'utilisateur;username
le mot de passe;password
taper;to type
faire une présentation;to give a presentation
tenir une réunion;to hold a meeting
la calculatrice;calculator
la lampe de bureau;desk lamp
le classeur;filing cabinet, ring binder
la perforatrice;hole punch
l'ordinateur portable;laptop
le bloc-notes;notepad
la photocopieuse;photocopier
l'imprimante f;printer
le scanner;scanner, scan
les ciseaux mpl;scissors
l'agrafeuse f;stapler
le scotch;sticky tape, scotch, scotch tape, tape
le téléphone;telephone
la clé USB;USB stick
l'adresse f;address
la lettre prioritaire;first-class
la lettre écopli;second-class
les services bancaires;online banking
le compte en banque;bank account
le compte courant;current account
le compte d'épargne;savings account
épargner;to save, to save up
le numéro de compte;account number
le relevé de compte;bank statement
le solde;bank balance, balance
le découvert;overdraft
le virement bancaire;bank transfer
le carnet de chèques;chequebook
la devise;currency
le prêt;loan
le prêt immobilier;mortgage
les intérêts mpl;interests
emprunter;to borrow
rembourser;to repay, to reimburse
retirer;to withdraw
verser de l'argent;to make a deposit
verser; pour, shed, deposit, pay in, put, transfer, assign, fall into
changer de l'argent;to change money
le distributeur de billets;ATM, ticket machine
les billets de banque;banknotes
le taux de change;exchange rate
le coffre-fort;safety deposit box, safe
l'église f;church
le palais des congrès;conference centre
le palais;palace, palate
le congrès;congress, convention, conference
le tribunal;courthouse
la caserne de pompiers;fire station
la fontaine;fountain
la laverie;laundrette
la mosquée;mosque
l'immeuble de bureaux;office block
le parc;park
l'aire de jeux f;playground
l'aire f;area, zone, park, estate
le commissariat;police station
la synagogue;synagogue
la mairie;town hall
le coursier;courier
le courrier;mail
poster;to post
envoyer;to send
l'enveloppe f;envelope
la lettre;letter
le colis;package
la carte postale;postcard
le timbre;stamp
les vacances fpl;holiday, vacation
le temps libre;spare time, free time
l'activité f;activity
amusant;fun, amusing
ennuyeux;boring
s'intéresser à;to be interested in
être passionné par;to be keen on, to be passionate about
passer le temps;to pass the time
se détendre;to relax
apprécier;to enjoy, to appreciate
s'ennuyer;to be bored
la cuisine;cooking
les jeux vidéo mpl;gaming, video games
le jardinage;gardening
le jogging;jogging
la lecture;reading
le shopping;shopping
le sport;sports, sport
le voyage;travelling
la marche;walking, walk
la visite guidée;guided tour
visiter;to visit
voir;to see
la galerie d'art;art gallery
le château;castle
la cathédrale;cathedral
le plan du centre-ville;city map
le jardin public;gardens
le guide;guidebook, guide
le monument;monument
le musée;museum
l'office de tourisme m;tourist office
un verre;a drink, a glass, drink, glass
la vie nocturne;nightlife
la fête;party
la pièce;play, room
le film;film
le festival;festival
la billetterie;box office
rencontrer des gens;to socialize, to meet people
s'amuser;to enjoy oneself
voir un spectacle;to see a show
regarder un film;to watch a film
aller danser;to go dancing
le ballet;ballet
le carnaval;carnival
le casino;casino
le cinéma;cinema
le spectacle;comedy show, show, spectacle
le concert;concert
la fête foraine;funfair
la comédie musicale;musical
la boîte de nuit;nightclub
l'opéra m;opera
le restaurant;restaurant
le théâtre;theatre
la chambre d'hôte;bed and breakfast
la pension complète;full board
la demi-pension;half board
le room service;room service
le numéro de chambre;room number
par personne et par nuit;per person per night, pppn
régler sa note;to check out
commander quelque chose au room;to order room service
le panneau;sign
la chambre pour deux personnes;double room
la carte magnétique;key card, magnetic card
le minibar;minibar
la réception;reception
la chambre pour une;single room
la chambre à deux;twin room
le camping;campsite
la colonie de vacances;summer camp
l'emplacement m;pitch
camper;to camp
partir en caravane;to go caravanning
la caravane;caravan
les allumettes fpl;matches
le sac de couchage;sleeping bag
la tente;tent
Baignade interdite;No swimming
la zone de baignade;bathing zone
le bronzage;suntan
nager;to swim
le sable;sand
la mer;sea
les vagues;waves
le parasol;parasol
la serviette de plage;beach towel
le ballon de plage;beach ball
le bikini;bikini
le seau;bucket, pail
le transat;deckchair
les tongs fpl;flip-flops
la promenade;promenade, walk
le château de sable;sandcastle
les coquillages mpl;seashells, shells
l'algue f;seaweed
le tuba;snorkel, tuba
les lunettes de soleil;sunglasses
le chapeau de soleil;sunhat
la crème solaire;suntan lotion
le short de bain;swimming trunks
la chanson;song
l'album m;album
le chanteur auteur;singer-songwriter
le CD;CD
le microphone;microphone
la pop;pop
le rock;rock
le hip hop;hip-hop
le rap;rap
classique;classical, classic
folk;folk
électronique;electronic
jouer d'un instrument;to play an instrument
chanter;to sing
aller à des concerts;to go to gigs, to go to concerts
les écouteurs mpl;earphones, listeners
le casque;headphones, headguard, helmet
la barre de son;soundbar
les haut-parleurs;speakers, loudspeakers
la platine;turntable
l'accordéon m;accordion
la guitare acoustique;acoustic guitar
la grosse caisse;bass drum
la guitare basse;bass guitar
le violoncelle;cello
la clarinette;clarinet
les cymbales fpl;cymbals
la contrebasse;double bass
la guitare électrique;electric guitar
la flûte;flute
la harpe;harp
le clavier;keyboard
l'harmonica m;mouth organ, harmonica
le piano;piano
le saxophone;saxophone
la caisse claire;snare drum
le trombone;trombone, paper clip
la trompette;trumpet
le violon;violin
le xylophone;xylophone
la chorale;choir
l'orchestre m;orchestra
la partition;sheet music, partition
la photo;photo
zoomer;to zoom in
la carte SD;SD card
les charades fpl;charades
le cache-cache;hide and seek
le jeu vidéo;video game
la console de jeux;games console
la manette de jeu;game controller
les mots croisés mpl;crossword
le sudoku;sudoku
jouer;to play
jeter les dés;to roll the dice, to throw the dice
le backgammon;backgammon
le jeu de société;board game
le bowling;bowling
les échecs mpl;chess
les pions mpl;counters
les fléchettes fpl;darts
le dé;dice
les dominos mpl;dominoes
les dames fpl;draughts
le puzzle;jigsaw puzzle, puzzle
peindre;to paint
esquisser;to sketch
coudre;to sew
tricoter;to knit
la broderie;embroidery
la poterie;pottery
l'encre f;ink
le carnet de croquis;sketchpad
les couleurs pour aquarelle;watercolours
la pelote de laine;ball of wool
les boutons mpl;buttons
les aiguilles à tricoter;knitting needles
du fil et une aiguille;needle and thread
les épingles fpl;pins
l'épingle à nourrice f;safety pin
la nourrice;nanny, childminder
la machine à coudre;sewing machine
le tournoi;tournament
la compétition;competition
la ligue;league
le match;match
les points mpl;points
entraîner;to coach, to train
participer;to compete, to participate
marquer;to score, to mark
gagner;to win
perdre;to lose
faire match nul;to draw
le centre sportif;leisure centre
la médaille;medal
le podium;podium
les spectateurs mpl;spectators
le stade;stadium
la tribune;stands
l'équipe f;team
le trophée;trophy
la salle de sport;gym
la course;running, race
se maintenir en forme;to keep fit
aller courir;to go for a run, go running
aller à la salle de sport;to go to the gym
le vestiaire;changing room
le casier;locker
le rameur;rowing machine, rower
le tapis roulant;treadmill
jouer au football;to play football
donner un coup de pied;to kick
marquer un but;to score a goal
le ballon de foot;football
le but;goal
les gants de gardien;goalkeeper's gloves
les protège-tibias mpl;shin pads, shinpads
le sifflet;whistle
l'ace m;ace
jouer au tennis;to play tennis
frapper;to hit, to strike
servir;to serve
le badminton;badminton
shuttlecock;badminton
le volant;shuttlecock, steering wheel
le squash;squash
le tennis;tennis
la chaise de l'arbitre;umpire's chair
la natation;swimming
la brasse;breaststroke
le dos crawlé;backstroke, backcrawl
le crawl;front crawl
la longueur;length
la leçon de natation;swimming lesson
la plongée;diving
plonger;to dive
surfer;to surf
pagayer;to paddle
ramer;to row
pêcher;to fish
les brassards mpl;armbands
le plongeoir;diving board
les palmes fpl;flippers
les lunettes de natation;goggles, swimming goggles
le bonnet de bain;swimming cap
la piscine;swimming pool
le maillot de bain;swimsuit
la station de sports;ski resort
le remonte-pente;ski lift
la poudreuse;powder
l'avalanche f;avalanche
le bodyboard;bodyboarding
le canoë;canoeing, canoe
le kayak;kayaking, kayak
le gilet de sauvetage;lifejacket
les avirons mpl;oars
la pagaie;paddle
le paddle;paddleboarding
la plongée sous-marine;scuba diving
la planche de surf;surfboard, surfing board
le surf;surfing
la planche à voile;windsurfing
skier;to ski
faire du snowboard;to snowboard, to go snowboarding
faire de la luge;to go sledging
faire du patin à glace;to go ice skating
la luge;sledge
le casque de ski;ski helmet
le combat;fight
le coup de poing;punch
boxer;to box
faire de la lutte;to wrestle
s'entraîner;to spar, to train
assommer;to knock out
le protège-dents;mouthguard
l'escrime m;fencing
escrimer;to fence
le taekwondo;taekwondo
la lutte;wrestling
le faux départ;false start
la ligne d'arrivée;finish line
l'éliminatoire f;heat, elimination
la finale;final
le sprint;sprint
courir;to run
sauter;to jump
lancer;to throw
la haie;hurdles, hedge
le chronomètre;stopwatch
le trou;hole
le trou en un;hole-in-one
jouer au golf;to play golf
le club de golf;golf club
le tir à l'arc;archery
le baseball;baseball
les boules fpl;bowls
l'escalade f;climbing
le cricket;cricket
la gymnastique;gymnastics
le hockey;hockey
le hockey sur glace;ice hockey
le skate;skateboarding
le snooker;snooker
le tennis de table;table tennis
le pansement;plaster
la trousse de secours;first-aid kit
la douleur;pain
la maladie;illness
le symptôme;symptom
la santé mentale;mental health
le traitement;treatment
l'assurance maladie f;health insurance
sain;healthy
se remettre;to recover
s'occuper de;to look after, to see to, to take care of, to deal with
traiter;to treat
la pharmacie;pharmacy
la gorge;throat
l'aisselle f;armpit
les organes génitaux;genitals
le sein;breast
le cil;eyelash
le sourcil;eyebrow
la paupière;eyelid
le lobe de l'oreille;earlobe
les narines fpl;nostrils
les lèvres fpl;lips, labia
la langue;tongue
les poils mpl;(body) hair, hair
le poids;weight
l'IMC m;BMI
l'ouïe f;sense of hearing
la vue;sense of sight, view
l'odorat m;sense of smell
le goût;sense of taste, taste
le toucher;sense of touch
l'équilibre m;balance, equilibrium
voir;to see
sentir;to smell
entendre;to hear
toucher;to touch
goûter;to taste
être debout;to stand
marcher;to walk
perdre l'équilibre;to lose one's balance
les cheveux mpl;hair
le front;forehead
l'œil m;eye
l'oreille f;ear
la joue;cheek
la bouche;mouth
la mâchoire;jaw
le menton;chin
le poignet;wrist
l'articulation du doigt;knuckle, finger-joint
l'ongle;fingernail
le doigt;finger
le pouce;thumb
la paume;palm
le gros orteil;big toe
l'ongle du pied m;toenail
le doigt de pied;toe
la plante du pied;sole
le talon;heel
la cheville;ankle
la tête;head
le visage;face
le cou;neck
le bras;arm
la poitrine;chest
l'abdomen m;abdomen
la main;hand
la cuisse;thigh
la jambe;leg
le genou;knee
le tibia;shin, tibia
le pied;foot
l'épaule f;shoulder
la coude;elbow
le dos;back
la hanche;hip
les fesses fpl;buttocks
le mollet;calf
l'organe m;organ
le cerveau;brain
le cœur;heart
le poumon;lung
le foie;liver
l'estomac m;stomach
le rein;kidney
les intestins mpl;intestines
la vessie;bladder
le système digestif;digestive system
le système respiratoire;respiratory system
le sang;blood
l'articulation f;joint
l'os m;bone
le muscle;muscle
le nerf;nerve
le tendon;tendon
le tissu;tissue, fabric
le ligament;ligament
la cellule;cell
l'artère f;artery
la veine;vein
l'oxygène m;oxygen
le crâne;skull
la clavicule;collarbone, clavicle
les vertèbres fpl;vertebrae
l'humérus m;humerus
le sternum;breastbone, sternum
la colonne vertébrale;spine
le cubitus;ulna
le radius;radius
le bassin;pelvis
le fémur;femur
la rotule;kneecap
le péroné;fibula
le rendez-vous;appointment
l'examen médical m;examination, medical exam, medical examination
le test;test
les antibiotiques mpl;antibiotics
la pilule;the pill
le somnifère;sleeping pill
l'ordonnance f;prescription
la visite à domicile;home visit
le vaccin;vaccination, vaccine, antidote
le médicament;medication, medicine
prendre rendez-vous;to make an appointment
examiner;to examine
être sous médication;to be on medication
le tensiomètre;blood pressure monitor
la salle d'examen;examination room
la table d'examen;examination table
le médecin;GP, doctor, physician
le stéthoscope;stethoscope
la seringue;syringe
le thermomètre;thermometer
la salle d'attente;waiting room
l'examen dentaire m;check-up
la molaire;molar
l'incisive f;incisor
la canine;canine
les dents de sagesse fpl;wisdom teeth
la plombage;filling
l'extraction f;extraction
la douleur dentaire;toothache
l'abcès m;abscess
se passer du fil;to floss
l'appareil (dentaire);braces
le fil dentaire;dental floss
l'assistant dentaire;dental nurse, dental assistant
la fraise dentaire;dentist's drill
le dentier;dentures
les gencives fpl;gums
le bain de bouche;mouthwash
les dents fpl;teeth
la dent;tooth
les lunettes de lecture;reading glasses
les lunettes à double foyer;bifocals, bifocal glasses
la conjonctivite;conjunctivitis
l'orgelet m;stye
la vision brouillée;blurred vision
les cataractes fpl;cataracts
myope;short-sighted, myopic
hypermétrope;long-sighted, far-sighted
malvoyant;visually impaired
aveugle;blind
daltonien;colour-blind
porter des lunettes;to wear glasses
le tableau d'acuité visuelle;eye chart
le collyre;eye drops
l'examen de la vue m;eye test, eye exam
la monture;frames, mount, frame, setting
les lunettes fpl;glasses
l'étui à lunettes m;glasses case
l'étui;case
la clinique;private hospital, clinic
l'opération f;operation
le défibrillateur;defibrillator
les soins intensifs mpl;intensive care
le diagnostic;diagnosis
l'ambulance f;ambulance
les béquilles fpl;crutches
la perfusion;drip, infusion
le lit d'hôpital;hospital bed
le chariot roulant;hospital trolley
la salle d'opération;operating theatre
le masque à oxygène;oxygen mask
le plâtre;plaster cast, cast, plaster
les points de suture;stitches
la salle d'hôpital;ward
le fauteuil roulant;wheelchair
le fauteuil;armchair
le déambulateur;Zimmer frame, walking frame
l'accident m;accident
le pouls;pulse
la commotion;concussion
la chute;fall
le déboîtement;dislocation
la foulure;sprain
la cicatrice;scar
le coup du lapin;whiplash
l'enflure f;swelling
les premiers secours;first aid
la position latérale de sécurité;recovery position
la RCP;CPR
être inconscient;to be unconscious
se blesser;to injure oneself
tomber;to fall
se casser le bras;to break one's arm
se tordre la cheville;to twist one's ankle
la brûlure;burn
la coupure;cut
la fracture;fracture
l'éraflure f;graze
l'écharde f;splinter
la piqûre;sting
le coup de soleil;sunburn
l'antiseptique m;antiseptic
le bandage;bandage
la poche de glace;ice pack
la minerve;neck brace
la pommade;ointment
l'écharpe f;sling, scarf, sash
la pince à épiler;tweezers
la crise cardiaque;heart attack
l'attaque f;stroke, attack
l'infection f;infection
l'otite f;ear infection
la fièvre;fever
le virus;virus
la varicelle;chicken pox
l'éruption cutanée f;rash
la gastroentérite;stomach bug, gastroenteritis
l'intoxication alimentaire;food poisoning
les vomissements mpl;vomiting
la nausée;nausea
la diarrhée;diarrhoea
la constipation;constipation
le diabète;diabetes
l'épilepsie f;epilepsy
l'asthme m;asthma
le vertige;dizziness, vertigo
l'inhalateur m;inhaler
l'insuline f;insulin
les douleurs de règles;period pain
tousser;to cough
éternuer;to sneeze
vomir;to vomit
s'évanouir;to faint
la femme enceinte;pregnant woman
le fœtus;foetus
l'utérus m;uterus
le col de l'utérus;cervix
le travail;labour, work
la péridurale;epidural
le projet de naissance;birth plan
l'accouchement m;delivery
la césarienne;Caesarean section, Caesarean
la fausse couche;miscarriage
la nausée matinale;morning sickness
mort-né;stillborn
tomber enceinte;to fall pregnant
être en travail;to be in labour
accoucher;to give birth
faire une fausse;to miscarry
la couveuse;incubator
la sage-femme;midwife
le test de grossesse;pregnancy test
la grossesse;pregnancy
l'échographie f;ultrasound
le masseur;masseur
la masseuse;masseuse
le remède;remedy
la pleine conscience;mindfulness
plein;full, full of, solid, filled
masser;to massage
méditer;to meditate
le massage;massage
la méditation;meditation
la médecine;medicine
l'animal de compagnie;pet
la puce;flea, microchip
la tique;tick
la quarantaine;quarantine
vacciner;to vaccinate
traiter contre les vers;to worm, treat for worms
pucer;to microchip
l'animal m;animal
l'oiseau m;bird
le poisson;fish
l'espèce f;species
le zoo;zoo
la réserve naturelle;nature reserve
le paysage;scenery, landscape
la fourrure;fur
la laine;wool
la patte;paw
le sabot;hoof
le museau;snout
la crinière;mane
la queue;tail, queue
la griffe;claw
la corne;horn
le bec;beak
à sang froid;cold-blooded
à sang chaud;warm-blooded
aboyer;to bark
ronronner;to purr
grogner;to growl
pépier;to chirp
rugir;to roar
la ferme;farm
la litière (pour chat);cat litter, litter
la grange;barn
le foin;hay
la paille;straw
la prairie;meadow, grassland, prairie
le chien d'aveugle;guide dog
le veau;calf, veal
l'agneau m;lamb
le poulain;foal
le chiot;puppy
le chaton;kitten
promener le chien;to walk the dog
aller chez le vétérinaire;to go to the vet
cultiver;to farm (crops), to grow, to cultivate
élever;to farm (animals), elevate, raise
la perruche;budgerigar, parakeet
le canari;canary
le chat;cat
le chien;dog
le furet;ferret
le poisson rouge;goldfish
le cochon d'Inde;guinea pig
le hamster;hamster
le perroquet;parrot
le poney;pony
le lapin;rabbit
le rat;rat
le taureau;bull
le poulet;chicken
la vache;cow
l'âne m;donkey
le canard;duck
la chèvre;goat
l'oie f;goose
le cheval;horse
le cochon;pig
le mouton;sheep
le chien de berger;sheepdog
le dindon;turkey
l'aquarium m;aquarium
la muselière;muzzle
l'écurie f;stable
l'alligator m;alligator
le crocodile;crocodile
la grenouille;frog
le gecko;gecko
l'iguane m;iguana
le lézard;lizard
le triton;newt
la salamandre;salamander
le serpent;snake
le crapaud;toad
la tortue;tortoise
la tortue marine;turtle
le blaireau;badger
la chauve-souris;bat
le sanglier;boar
le cerf;deer
le renard;fox
le lièvre;hare
le hérisson;hedgehog
la taupe;mole
la souris;mouse
la loutre;otter
l'écureuil m;squirrel
le loup;wolf
l'ours m;bear
le chameau;camel
le chimpanzé;chimpanzee
l'éléphant m;elephant
la girafe;giraffe
le gorille;gorilla
l'hippopotame m;hippopotamus
le kangourou;kangaroo
le lion;lion
le singe;monkey
le rhinocéros;rhinoceros
le tigre;tiger
le merle;blackbird
la grue;crane
le corbeau;crow
la colombe;dove
l'aigle m;eagle
le pinson;finch
le flamant rose;flamingo
la mouette;gull
le faucon;hawk, falcon
le héron;heron
le martin-pêcheur;kingfisher
l'alouette f;lark
l'autruche f;ostrich
la chouette;owl
le paon;peacock
le pélican;pelican
le manchot;penguin
le pigeon;pigeon
le macareux;puffin
le rouge-gorge;robin
le moineau;sparrow
la cigogne;stork
le cygne;swan
la grive;thrush
l'essaim m;swarm
la colonie;colony
la toile d'araignée;cobweb, spider web
la piqûre d'insecte;insect bite
bourdonner;to buzz
piquer;to sting
la fourmi;ant
l'abeille f;bee
le scarabée;beetle
le papillon;butterfly
la chenille;caterpillar
le mille-pattes;centipede
le cafard;cockroach
le grillon;cricket
la libellule;dragonfly
le ver de terre;earthworm, worm
la mouche;fly
la sauterelle;grasshopper
la coccinelle;ladybird
l'éphémère f;mayfly, ephemeral
le moustique;mosquito
le papillon de nuit;moth
la limace;slug
l'escargot m;snail
l'araignée f;spider
la guêpe;wasp
le cloporte;woodlouse
le corail;coral
le crabe;crab
le dauphin;dolphin
l'anguille f;eel
la méduse;jellyfish
l'orque f;killer whale, orca
le phoque;seal
le requin;shark
l'étoile de mer f;starfish
la baleine;whale
la tige;stalk
le pétale;petal
le pollen;pollen
le bourgeon;bud
le bois;wood
la branche;branch
le tronc;trunk
l'écorce f;bark
la racine;root
le bulbe;bulb
le bouton-d'or;buttercup
l'œillet m;carnation
le chrysanthème;chrysanthemum
la jonquille;daffodil
la pâquerette;daisy
la jacinthe;hyacinth
l'iris m;iris
le lys;lily
le muguet;lily-of-the-valley
l'orchidée f;orchid
la pensée;pansy
le coquelicot;poppy
la rose;rose
le tournesol;sunflower
la tulipe;tulip
le marronnier;chestnut
le cyprès;cypress
le sapin;fir
le champignon;fungus, mushroom
la vigne;grapevine, vine
le lierre;ivy
la lavande;lavender
le lilas;lilac
la mousse;moss
le chêne;oak
l'olivier m;olive
le pin;pine
le peuplier;poplar
le saule;willow
le paysage;landscape
la boue;mud
l'eau f;water
l'estuaire m;estuary
l'air m;air
l'atmosphère f;atmosphere
la comète;comet
le lever du soleil;sunrise
le coucher de soleil;sunset
rural;rural
urbain;urban
polaire;polar
alpin;alpine
la grotte;cave
le désert;desert
les terres cultivées fpl;farmland
la forêt;forest
le glacier;glacier
la colline;hill
le lac;lake
le marais;marsh
la montagne;mountain
la mare;pond, pool
le fleuve;river
les rochers mpl;rocks
la rivière;stream, river
la vallée;valley
le volcan;volcano
la cascade;waterfall, cascade
la falaise;cliff
la côte;coast, rib, shore
le récif coralien;coral reef
l'île f;island
la péninsule;peninsula
la flaque d'eau salée;rockpool
la flaque;puddle
les nuages mpl;clouds
la lune;moon
l'arc-en-ciel m;rainbow
les étoiles fpl;stars
la plume;feather
l'occasion f;occasion
l'anniversaire m;birthday
le mariage;wedding, marriage
l'anniversaire de mariage;wedding anniversary
le jour férié;public holiday
la fête religieuse;religious holiday, religious festival
la célébration;celebration
la fête surprise;surprise party
célébrer;to celebrate
faire une fête;to throw a party, to have a party
porter un toast à;to toast
le bouquet;bouquet
la boîte de chocolats;box of chocolates
les banderoles fpl;bunting
le gâteau;cake
le champagne;champagne
le cadeau;gift
la fête des Mères;Mother's Day
la fête des Pères;Father's Day
la Saint Valentin;Valentine's Day
la naissance;birth
le premier jour;first day of school
trouver un boulot;finding a job
les fiançailles fpl;engagement
avoir un bébé;having a child, having a baby, have a baby
le déménagement;relocation
la retraite;retirement
l'enterrement m;funeral
les feux d'artifice mpl;fireworks
la Toussaint;All Saints' Day
poisson d'avril;April Fool's Day, April Fool's
le nouvel an chinois;Chinese New Year
Dipavali f;Diwali
Pâques fpl;Easter
l'Aïd-el-Fitr m;Eid-al-Fitr, Eid
Halloween f;Halloween
Hanoukka f;Hanukkah
Pâque juive f;Passover
le ramadan;Ramadan
la veille de Noël;Christmas Eve
le jour de Noël;Christmas Day
la Saint-Sylvestre;New Year's Eve
le jour de l'an;New Year's Day
les étrennes fpl;New Year gift
le père Noël;Santa Claus, Father Christmas
le marché de Noël;Christmas market
le gui;mistletoe
la crèche de Noël;Nativity scene, nativity
la couronne;wreath, crown
la bûche de Noël;Yule log
le char de carnaval;carnival float
le masque;mask
la parade;parade
