LANGUAGE=ESPERANTO
abako;abacus
astronaŭto;astronaut, spaceman
astronomia;astronomic, astronomical
astronomiisto;astronomer
astronomio;astronomy
astronomo;astronomer
ataka;aggressive, offensive
atakadi;to harass, press hard
atakanto;aggressor, assailant, attacker
atakema;aggressive
ataketo;attack, fit
ataki;to assault, attack
atako;access, attack
atalanto;red admiral
ataŝeo;attaché
atavismo;atavism, throw-back
ateismo;atheism
ateisto;atheist
ateliero;atelier, studio, work-room, workshop
atencanto;assailant, assaulter
atenci;to assault, violate
atencinto;assailant, assaulter
atenco;assault
atenculo;assailant, assaulter
atendado;expectation
atendejo;waiting-room, waiting room
atendi;to abide, expect, wait, await, wait for
atendo;expectation
atenta;attentive
atentema;attentive
atenti;to pay attention, watch out for
atenti pri;to pay attention to
atentigi;to draw attention
atentigi pri;to advance, put forward
atento;attention
atestanto;witness
atesti;to attest, bear witness of, testify
atesto;certificate, testimony
atingebla;accessible
atingi;to accomplish, attain, get, reach
atingopovo;range, reach
atlaso, atlazo;atlas
atleta;athletic
atletiko;athletics
atletismo;athletics
atleto;athlete
atmosfero;atmosphere
atolo;atoll
atoma;atomic
atombombo;atom bomb
atomcentralo;atomic powerstation
atomenergio;atomic energy
atomfendado;fission
atomfuzio;atomic fusion
atomo;atom
atompezo;atomic weight
atomteorio;atomic theory
atonala;atonal
atributo;attribute
atriplo;orache
atrofii;to atrophy
atrofiiĝi;to atrophy
atrofio;atrophy
atuti;trump
atuto;trump
aŭ;or
aŭ ... aŭ;either ... or
aŭbado;aubade
aŭbrieto;aubretia
aŭdaca;audacious, bold, daring, intrepid
aŭdaci;to dare
aŭdaco;audacity, boldness, daring
aŭdantaro;audience
aŭdavida;audio-visual
aŭdi;to hear
aŭdicio;audition
aŭdienco;audience
aŭdiĝi;to be heard
aŭdilo;hearing aid
aŭditorio;auditory
aŭdokapablo;hearing
aŭdsentumo;hearing
aŭdvida;audio-visual
aŭguri;forecast, foretell, prophesy
aŭguristo, aŭguristino;fortune teller *aŭguri (to fortell) + isto
aŭguro;indication, omen, presage, portent, sign
aŭkciisto;auctioneer
aŭkcio;auction
aŭlo;auditorium
aŭreolo;aureole, halo
aŭro;aura
aŭskultantaro;audience, auditory
aŭskultanto;listener
aŭskulti;to listen
aŭskultilo;earphone
aŭspicio;auspices, patronage, protection, support
aŭtarkio;autarky, self-sufficiency
aŭtenta;authentic
aŭtentika;authentic, genuine
aŭtentikeco;authenticity
aŭtismo;autism
aŭtisto;motorist
aŭto;car
aŭtobiografio;autobiography
aŭtobushaltejo;bus stop
aŭtobuso;bus, autobus, omnibus
aŭtodidakto;autodidact, self-taught man
aŭtogena;autogenous
aŭtokrata;autocratic
aŭtokratio;absolute power, absolute rule, autocracy
aŭtokratismo;autocracy
aŭtokrato;absolute ruler, autocrat
aŭtoktono, aŭtoĥtono;native
aŭtolitotrajno;car sleep train
aŭtolitvagonaro;car sleep train
aŭtoluigado;car hire
aŭtomacio;automation
aŭtomata;automatic
aŭtomatigi;to automate
aŭtomatigo;automation
aŭtomatizi;to automate
aŭtomato;automoton
aŭtomobilejo;garage
aŭtomobilismo;motoring
aŭtomobilisto;motorist
aŭtomobilo;automobile, car, motor car, motor-car
aŭtonoma;autonomic, autonomous
aŭtonomeco;autonomy
aŭtonomio;autonomy
aŭtopneŭmatiko;automobile tyre, motor tyre
aŭtopneŭmo;automobile tyre, motor tyre
aŭtopsio;autopsy
aŭtora rajto;copyright
aŭtoradio;car radio
aŭtorino;authoress, writer, woman writer
aŭtoritata;authorative
aŭtoritateco;authority
aŭtoritato;authority
aŭtoritatulo;authority
aŭtoro;author
aŭtostiranto;motorist
aŭtostirlernejo;driving-school, school of motoring
aŭtostrado;motor road, motorway
aŭtoŝoseego;motorway, super highway, turnpike
aŭtoŝoseo;motor road, motorway
aŭtovetkuristo;racing driver, racing motorist
aŭtovojo;expressway, freeway
aŭtovrako;car wreck
aŭtuna;autumn
aŭtuneca;autumnal
aŭtunfino;last days of autumn
aŭtuno;autumn
ava;bird, bird-, bird's, of a bird
avalo;guarantee, guarantee of a bill
avangardo;avant-garde
avantaĝo;advantage, benefit
avanulo;forward
avara;avaricious, miserly, stingy
avareco;avarice, miserliness, stinginess
avarulo;miser, niggard, skinflint
avelarbo;hazel, hazel-tree
avelo;hazelnut
avelujo;hazel, hazel-tree
aveno;oats
aventura;adventurous
aventurema;adventurous
aventuristo;adventurer
aventuro;adventure
aventurriĉa;adventurous
aventurulo;adventurer
avenuo;avenue
averaĝo;average
averii;to break down, suffer damage
averio;damage
averti;to caution, warn
averto;warning
aviadi;to aviate
aviadilo;aeroplane
aviadisto;aviator
aviado;aviation
avida;avid, eager for, greedy
avideco;avidity, covetousness, eagerness, greediness
avidi;covet
avidi spiron;gasp, pant for breath
avido;avidity, covetousness, eagerness, greediness
avinjo;granny
avino;grandmother
avizi;to advise, counsel, notify
avizo;notification, notice
avo;grandfather
avoĉjo;granddad
azaleo;azalea
azenbleki;to bray
azenĉevalo;hinny
azenino;jenny-ass, she-ass
azenisto;donkey-driver
azeno;ass, donkey
azilo;asylum
azimuto;azimuth
azoto;nitrogen
ba;bah, nuts, pooh
babilado;chat
babilemo;talkativeness
babilemulo;chatterbox, tattler, telltale
babili;to chat, chatter
babilulo;chatterbox, tattler, telltale
babordo;port side
babuŝo;mule
bagaso;bagasse
bagatelo;trifle
bagno;house of correction
bajoneta fermilo;bayonet catch, bayonet joint
bajoneto;bayonet
bajto;byte
bakaĵo;baked goods
bakejo;bakery
bakelito;bakelite
bakfaruno;flour
bakforno;oven, baking oven
baki;to bake
bakisto;baker
bakterio;bacterium
bakupi;to backup
bakupo;backup
balado;ballad, ballade
balai;to sweep
balailo;broom
balalajko;balalaika
balanci;rock, swing
balanciero;balance, fly
balanciĝi;to balance, poise
balasto;ballast
balato;balata
balbuti;to stammer, stutter
baldakeno;baldachin, canopy
baldaŭ;soon
baldaŭa;speedy
baledestro;ballet master
baledo;ballet
balenlameno;baleen, whalebone
baleno;whale
balenosto;baleen, whalebone
baletistino;ballerina, ballet dancer, ballet girl
baletisto;ballet dancer
baleto;ballet
balgo;bellows
balistiko;ballistics
balkono;balcony
balo;ball, dance
balono;balloon
balotado;ballot, balloting, voting by ballot
baloti;vote
balsalono;ball-room
balustrado;balustrade, banisters, parapet, railing
balzama;balm, balsam
balzami;to embalm
balzamino;balsam
balzamizi;to embalm
balzamo;balm, balsam
bambuo;bamboo
bambuŝosoj;bamboo shoots
banala;commonplace, dismal, trite
banalaĵo;banality, platitude
banaleco;banality, triteness, triviality, platitude
banano;banana
bananujo;banana plant, banana-plant
banbudo;bathing box
banĉambro;bathroom
bandaĝo;bandage
banderolo;wrapper
bandito;bandit
bando;band, bevy, gang
banejgardisto;bath superintendant, baths superintendant
banejo;bathroom
bangalo;bungalow
banĝo;banjo
bani;to bathe
bani sin;bathe, have a bath
banjano;banyan
banka bileto;bank-note
bankajuto;bathing box
bankalsono;swimming trunks
bankbileto;bank note, banknote
bankdiskonto;bank discount, bank rate
bankedĉambro;banquet room, banquet-room
bankedi;to banquet, feast
bankedo;banquet
bankestro;banker, bank manager
bankiero;banker
bankismo;banking
bankisto;bank clerk, bank official
banko;bank
bankokonto;bank account, banking account
bankostumo;bathing suit, bathing-suit
bankrota;bankrupt
bankroti;to be bankrupt, go broke
bankrotinto;bankrupt
bankroto;bankruptcy, failure
bankrotulo;bankrupt
banksaldo;balance, balance with a bank
banksekreto;banking secret
bankuracejo;health resort
bankuvo;bath
bano;bath
banspongo;bathing-sponge
banŝio;banshee
banurbo;spa
baptejo;baptistery
bapti;to baptize, christen
baptisto;baptist
bapto;baptism, christening
baptopatro;godfather *bapto (baptism) + patro (father)
baraĵo;dam
barako;barrack, barn, shack, shanty, shed
barakti;to flounder, struggle, writhe
barba;bearded
barba dianto;sweet william
barbara;barbaric
barbaraĵo;barbarity
barbareco;barbarity, barbarousness
barbarismo;barbarism
barbaro;barbarian
barbfiŝo;barbel
barbhava;bearded
barbio;barbel
barbiro;barber
barbisto;barber
barbiturato;barbiturate
barbo;beard
barĉo;borscht, borstch
bardo;bard
bareliefo;bas-relief, low relief
barelo;barrel
barĝestro;barge-master
barĝo;barge
bari;to bar, obstruct
bariergardisto;signalman
bariero;barrier
barikadi;to barricade
barikado;barricade
barila digo;dam
barilo;barrier, fence
barilpordo;gate
baritono;baritone
baritonulo;baritone
barko;bark, barque
baro;bar, barrier
baroko;baroque
barometro;barometer
baronino;baroness
baronlando;barony
barono;baron
barto;busk, steel
basa;deep
basbalo;baseball
baseno;basin, reservoir
basiero;bear
basigisto;bear
basketbalo;basketball
baskulo;weighing machine
basludanto;bass player
baso;bass, bass voice
bastarda;bastard
bastardeco;bastardy
bastardo;bastard
bastiono;bastion
basto;bast
bastonadi;to beat, beat up, flog, thrash, whack
bastoneto;stick, little stick
bastono;baton, cane, stick
basulo;bass
basviolono;bass-viol, violoncello
batadi;to clatter
batalema;truculent
batali;to fight, struggle
bataliono;battalion
batalo;battle, scuffle, struggle
bategi;thrash
baterio;battery
bati;to beat, hit, strike
batiki;to batik
batisto;batiste, cambric, lawn
batita kremo;whipped cream
bato;blow
baŭdo;baud
baŭksito;bauxite
baza;basic
baza salajro;basic wage
bazalto;basalt, whimstone
bazaro;bazaar, fair, market
bazi;to base
baziliko;basilica
bazilio;basil
bazo;base, basis
bazopilkludo;baseball
bazuko;anti-tank gun, bazooka
bebo;baby
bebofono;baby intercom, baby phone
bebovartantino;baby-sitter
bebovartanto;baby-sitter
bedaŭri;to be sorry about, regret
bedaŭriga;miserable
bedaŭrinda;regrettable
bedaŭro;regret
bedo;bed
beginejo;beguinage
begino;beguine
begonio;begonia
bekerelo;becquerel
beko;beak, bill
bela;beautiful, fine, handsome, lovely
beladono;belladonna
bele;beautifully
beleco;beauty
belega;lovely
beleta;pretty
beletaĝo;ground floor
beletre klera;well-read
belfrido;belfry, bell tower
belo;bel
belsona;euphonious
belulino;beautiful woman, beauty
bemolo;flat
bendi;tape
bendo;binding, strip, tape
benefico;benefit performance
bengala fajro;bengal-light, bengal-lights
beni;to bless
benigna;benign
benketo;small bench, stool
benko;bench
benkseĝaro;lounge suite, three-piece suite
beno;blessing, boon
benzeno;benzene
benzincisterno;fuel tank
benzinkruĉo;petrol can
benzinmezurilo;petrol gauge
benzinmotoro;petrol engine
benzinnivela indikilo;petrol gauge
benzino;gasolene, gasoline, petrol
benzinstacio;filling station
benzinujo;gas tank, petrol tank
berilo;beryl
berilŝtono;beryl
bermo;shoulder, verge, verge of a road
bero;berry
besta;beastly, bestial
bestaĉo;monster
besteca;beastly, bestial
bestejo;pen, sty
bestio;beast, brute, wild animal
bestkuracisto;veterinarian
besto;animal, beast
beto;beet, beetroot
betono;concrete
betsukero;beet sugar, beetroot sugar
betulo;birch
bezona;necessary
bezonaĵo;requisite
bezonata;necessary
bezoni;to need, require
bezono;need, want
bibliografio;bibliography
bibliotekisto;librarian *biblioteque (fr)
biblioteko;library *biblioteque (fr)
bicikli;to cycle
biciklo;bike, cycle, bicycle
bido;bead
bienisto;farmer, rancher
bieno;estate, farm, property, ranch
biero;ale, beer
bifsteko;steak, beefsteak
bikino;bikini
bilanco;balance sheet
bilardo;billiards
bildekrano;screen
bildero;pixel
bildkarto;picture postcard
bildo;image, picture
bildodetruo;iconoclasm
bildotubo;cathode tube
bildsimbolo;icon *bild (image) + simbolo (symbol)
bildtubo;cathode tube
bildvalvo;cathode tube
biletgiĉeto;booking-office
bileto;bill, ticket, note
binara;binary
bindaĵo;binding, cover
bindi;to bind
bindo;binding, cover
binoklo;binoculars
biografo;biographer
biologo;biologist
birdaĵo;fowl, poultry
birdaro;birds
birdejo;aviary
birdeto;little bird
birdo;bird
bireto;beret
bis;encore, one more time
biskoto;bicuit
biskvito;biscuit, cookie
bismuto;bismuth
bitmatrico;bitmap
bito;bit
bitoko;byte
bizara;bizarre, odd, weird
bizono;bison
blagi;to kid, pull someone's leg
blago;sly joke
blanka;blank, white
blanka argilo;white clay
blanketo;blank cheque, carte blanche
blankigi;to blanch, whiten
blanko;white
blasfemanto;blasphemer
blasfemi;to blaspheme, cuss, curse, swear
blasfemo;blasphemy
blato;cockroach
blazo;blister
bleki;to bellow, bleat, neigh
blinda;blind
blindeco;blindness
blindigi;to dazzle
blindulo;blind, sightless person
blindumi;to dazzle
blokado;blockade
bloketo;bit
bloki;to block, blockade
bloko;block, pad
blonda;blond, fair
bloveksciti;to stir up
blovi;to blow
blovinstrumento;wind instrument, wind-instrument
blua;blue
bluo;blue
bluzo;blouse
bo-;by marriage, -in-law
boao;boa
boateto;little boat
boato;boat
bobeli;to bubble
bobelo;bubble
bobeni;to wind
bobeno;bobbin, coil, spool
bofilo;son-in-law
bofrato;brother-in-law
bogepatroj;parents-in-law
bojegi;to bark, bay
boji;to bark
bojminaci;to bay at, bark at
boksi;box
boksisto;boxer
bokso;boxing
boleti;to simmer
boli;boil
boligi;boil
bolilo;kettle
bolkruĉo;kettle
boltingo;nut
bombardi;bombard
bombi;bomb
bombikso;silkworm
bombo;bomb
bombono;bonbon, bon-bon
bona;good, nice, okay
bonan matenon;good morning
bonan nokton;good night
bonan posttagmezon;good afternoon
bonan ŝancon;good luck
bonan tagon;good day
bonan vesperon;good evening
bonaspekta;good-looking
bone edukita;cultivated, cultured, educated
boneco;goodness
bonega;fine, great
bonege;fine, very well
boneta;nice
bonete;so so
bonfama;of good repute
bonfara vendo;bazaar, fancy fair, jumble-sale
bonfartanta;well
bonfarti;to be well, feel fine
bonfarto;well-being
bongusta;nice, tasty
bongustega;delicious
bongusto;good taste
bonhava;in easy circumstances, well-to-do
bonhumora;gay, merry
bonifiko;bonus
bonkaraktera;good-hearted
bonkonduta;sweet
bonkora;good-hearted, kind
bonkvaliteco;virtue
bonmaniera;courteous, polite, well-mannered
bonmaniereco;good breeding, refinement
bono;good
bonodoro;nice smell, sweet smell
bonstata;in good condition
bonstato;well-being
bonŝance;fortunately
bonŝanco;luck
bonŝancon;good luck
bonulo;nice guy
bonvenigi;to welcome
bonvenigo;greeting, salutation
bonvenon;welcome
bonvolo;affection
bonvolu;please
bopatrino;mother-in-law
bopatro;father-in-law
borakso;borax
boratingi;bore, broach, sink, strike, tap
bordelo;brothel
bordero;border
bordo;bank, border, edge, shore
bori;bore, drill
borilo;bore
boro;boron
borso;stock exchange
botaniko;botany
botelmalfermilo;bottle opener
botelo;bottle
boto;boot
bova;bovine, cow, cow-
bovaĵo;beef
bovejo;byre, cowhouse, cowshed
bovidaĵo;veal
bovido;calf
bovino;cow
bovo;bovine, bovine animal
braceleto;bracelet
bradipo;sloth
braĝo;charcoal
brakapogilo;arm, arm-rest
brakhorloĝo;watch, wrist-watch
brako;arm
brakringo;bracelet
brakseĝo;armchair
brakumi;to embrace
branĉeto;twig
branĉo;bough, branch
branĉotranĉilo;bill, pruning-knife
branĉvojo;by-way, side-way
brando;brandy
brankardo;stretcher
branko;gill
brasiko;cabbage
brasikstumpo;stalk of cabbage
brava;brave, gallant
breĉi;to breach
breĉo;breach, gap
bredi;to breed, keep, raise, rear
bremsi;to brake
bremso;brake
bretaro;cabinet
breto;shelf
bridi;to bridle, check, restrain
brido;bridle, check, restraints
brigado;brigade
brika;brick
briketo;bar
briko;brick
brila;bright, brilliant
brili;to shine
brilo;gloss, sheen
brizo;breeze
broĉo;brooch
brodi;to embroider
brogi;to scald
brokanta;second hand, secondhand
brokanti;to deal in secondhand goods
brokolo;broccoli, brocoli
bronza, bronzo;bronze
brosi;to brush
broso;brush
broŝuro;leaflet, pamphlet, paperback *brochure
brovo;brow, eyebrow
brua;noisy
brui;to make a noise
brulaĵo;fuel
brulalkoholo;methylated spirit
brulavertilo;fire-alarm, firecall
brulbombo;incendiary bomb
brulema;flammable
brulgluiĝi;to burn
brulgusta;burnt
bruli;to burn
bruligi;to burn
bruliĝo;combustion
brulligno;firewood
brulstampi;to brand
brulstampilo;branding iron
brulstampo;brand
brulŝtiparo;faggot
brulvundi;to burn
bruna;brown
brunhara;brunette
bruno;brown
brunokula;browneyed
bruo;ado, din, noise
bruska;abrupt
brustangoro;angina pectoris
brusto;bosom, breast, chest
bruta;brute, harsh
brutaro;livestock
brutigi;to dull
brutiĝi;to become dull
bruto;head of cattle
bubaĉo;naughty boy, pickle
bubalo;buffalo
bubo;brat, urchin, jack
buĉejo;abattoir, slaughterhouse
buĉi;to butcher, slaughter
buĉistbutiko;butcher's shop
buĉisto;butcher
budĝeto;budget
budo;barn, shed, stand
bufedo;buffet
bufo;toad
bufro;buffer, bumper
bugri;to bugger, sodomize
bugro;anal sex
buĝeta deficito;budgetary deficit
buĝeto;budget
bukanisto;buccaneer
bukedo;bouquet
buki;to buckle
bukli;to curl
buklo;curl
buko;buckle
bukso;box-tree
bulbo;bulb
buldozo;bulldozer
buleto;small ball
buljono;bouillon
bulko;roll
bulo;chunk, clod, lump
bulteno;bulletin
bulvardo;boulevard
bulvolvi;to wind up
bunkro;bunker, shelter
bunta;multicoloured
buo;buoy
burdo;bumblebee
burgunda vino;burgundy
burĝa;bourgeois, middleclass
burĝaro;bourgeoisie
burĝo;middleclass citizen
burĝoni;to bud
burĝono;bud
burokrataro;bureaucracy, officialdom
bushaltejo;bus stop, busstop
