LANGUAGE=ESPERANTO
abako;abacus
plasta, plastika;plastic
plasto;plastic
plastro;plaster
plata;flat
plataĵo;plateau
platano;plane, plane-tree, sycamore
plateno;platinum
plateso;plaice
platformo;platform
platnazo;pug-nose
plaŭdeti;to burble, gurgle, murmur, purl
plaŭdi;to lap, plash, splash
pledi;to plea, plead
pledi por;advocate, plead
pledo;plea
plej;most
plej bona;best
plej bonega;best of all, very best
plej ekstera;outer
plej grava;most important
plej malbona;worst
plej posta;hind, hindmost
plej proksima;nearest, next
plej proksimaj parencoj;next of kin
plej supra;upper
pleje;at most
plejparte;mostly
plekti;to braid, plait, twine, wreathe
plektita mato;plaited mat
plena;complete, full
plenaera kradrostado;barbecue
plenaĝa;adult, grown-up, full-grown
plenblovi;to inflate *plen (full) + blovi (blow)
plenbrako;armful
plenbuŝo;mouthful
plendi;complain
plendi kontraŭ;accuse
plendo;complaint
plene;completely, fully
plenigi;to fill, fill in, fill up
pleniĝi;to become full
plenkreska;adult, full-grown
plenkreskulo;adult, grown-up
plenluno;full moon
plenmano;handful
plenplena;brimming, replete
plenumi;to accomplish, achieve, keep, observe, perform
plenzorga;anxious
pleto;tray
plezura;agreeable, pleasant
plezuriga;pleasurable
plezuro;fun, pleasure
pli;more
pli aĝa;elder, older
pli bona;better
pli detala;further
pli ĝuste;rather
pli juna fratino;younger sister
pli juna frato;younger brother
pli juna gefrato;younger brother, younger sibling, younger sister
pli kaj pli;to increasingly, more and more
pli malbona;worse
pli malfrue;later, later on
pli maljuna fratino;elder sister
pli maljuna frato;elder brother
pli maljuna gefrato;elder brother, elder sibling, elder sister
pli malpli;to quite
pli malproksima;farther
pli ol;above, more than, over
pli proksima, pli proksime;nearer
pli volonte;preferably
plia;another, one more
plialtigi;to increase, raise
plialtiĝi;to ascend, go up, increase
plibeligi;to embellish
plibeligi iom;trim
plibeliĝi;to grow more beautiful
plibonigi;to improve
pliboniĝo, plibonstatiĝo;progress
plidikigi;thicken
plie;and also, and ... as well, as well as, together with
plietiĝi;to decrease, diminish
plifaciligi;to facilitate
plifervorigi;to cheer, fire, inspire, stimulate
plifortigi;fortify
plifortiĝi;to increase, freshen
plifruigi;to accelerate
pligrandigi;to augment, enlarge, increase
pligrandigo;enlargement, increase
pligrandiĝi;to increase
pligrandiĝo;enlargement, increase
pligravigi;to blow up, heighten
pliigi;to increase
pliiĝi;to augment, grow, increase
plilaŭtiĝi;to swell, swell into a roar
plilongigi;to lengthen
plimalgrandigi;to decrease
plimalgrandiĝi;to decrease, diminish
plimalpli;more or less
plimultigi;to enhance
plimultigo;accession
plimultiĝo;increase
plimulto;majority
plipeziĝi;to gain, put on weight
pliposte;later on
pliproksimiĝi;to advance, come on
plirapidigi;to accelerate
plirapidigo;acceleration
plirapidiĝi;to accelerate
plirapidiĝo;acceleration
plistreĉi;to draw tighter, tighten
plivigligi;to fan, fire, inspire, stimulate, stir up, urge on
plonĝi;to dive, plunge
plonĝisto;diver
plori;to cry, weep
plorsingulti;sob
plu;else, further, more, on
plua;additional, another
pludaŭrigi;to extend
plue;besides, furthermore, in addition, moreover
plugebla;arable
plugi;to plough
plugilo;plough, plow
pluki;to pick, pluck
plumbo, plumba;lead
plumo;feather, pen
pluraj;several
plurfoje;repeatedly
plurnacia;multinational
plurtaskplenumado;multitasking
plus;plus
pluskvamperfekto;pluperfect
pluso;surplus
plutonio;plutonium
pluvalidigi;to extend
pluvegi;pour, rain cats and dogs
pluveti;to drizzle, mizzle
pluveto;drizzle, drizzling rain
pluvi;to rain
pluvmantelo;raincoat *pluv (rain) + mantelo (coat)
pluvo;rain
pluvombrelo;umbrella
pluvsezono;rainy season
pneŭmo, pneŭmatiko;tire, tyre
pneŭmonio;pneumonia
po;at, at the rate of, by
pobo;poop, poopdeck, stern
podagro;gout
podetalisto;retailer
podio;platform, podium
poemo;poem
poento;point
poeto;poet
poezio;poetry
pogoniuleto;small woodpecker
pogrande;wholesale
pojno;wrist
pokalo;goblet
pokero;poker
polekso;thumb
polemiki;to engage in a controversy
polemiko;controversy
polenado;pollination
poleni;pollinate
policano;policeman
policejo;police-station
policestro;chief of police
policisto;policeman
polico;police
policpatrolo;squad
polipo;polyp
poliso;policy, insurance policy
politika;political
politikisto;politician
politiko;policy, politics
polivinilklorido;polyvinyl chloride, PVC
polko;polka
polpo;octopus
poluri;polish
poluso;pole
polvo;dust
polvokovri;cover with dust
polvosuĉilo;vacuum cleaner, vacuum-cleaner
pomarbo;apple-tree
pomfritpastaĵo;apple fritter
pomo;apple
pompa;resplendant
pompasteĉo;apple turnover
pompo;pomp, splender
pomsuko;apple juice
pomtorto;apple-tart
pomujo;apple-tree
ponardo;dagger
poneo;pony
ponto;bridge
poplo;poplar
popolkanto;folk song
popolo;folk, nation, people
populara;popular
por;for, to, in order to, per
por ke;so, so that
por tiel diri;so to speak
poranonca gazeto;advertiser
porcio;share
pordaperturo;doorway
pordego;gate, gateway, portal
pordo;door, gate
porka;pig, pig-, of a pig
porkaĵo;pork
porkejo;sty
porkido;piglet
porkino;sow *porko (pig) + in + o
porko;hog, pig, swine
pormanĝilara lavmaŝino;dishwasher
pornografia;pornographic
pornografio, pornografaĵo;pornography
portebla;portable
porti;to carry, wear
portiko;porch
portilo;litter, strecher
portisto, pordisto;porter
portreto;portrait
porvesperaj vestoj;evening dress
posedaĵo;possession, property
posedi;to own, possess
posedo;possession
post;after, behind
post kiam;after
post la kulisoj;behind the scenes
post nelonge;soon
post tio;beyond, next, then, thereafter
posta;hind, hindmost
posta meditado;commentary
posta steveno;stern
postaĵo;backside, rump
poste;afterwards, next, subsequently
posten;backwards
posteni;to be on duty, stand guard
posteniri;go back, go backwards
posteno;post
posteularo;offspring
posteulo;offspring, successor
postgvardio;defence, rear, rearguard
postiri;follow
postkrii moke;hoot after
postkuri;to chase
postlasaĵo;estate
postlasi;to leave behind
postmanĝaĵo;dessert
postmeti;to affix, add
postmorgaŭ;the day after tomorrow
postmorta mondo;hereafter
postnaskaĵo;afterbirth, placenta
postoperacia kuracado;after-treatment, follow-up
postraza ŝmiraĵo;aftershave
postregiono;hinterland
postresta pozicio;arrears
postrestanto;laggard, straggler
postresti;to be kept in, be detained, remain, stay on
postrestigi;to keep in
postrigardi;follow up with one's eyes, look after
postsekvi;to run after
postsoifo;thirst after drinking to excess
postsoni;to resound
postsono;echo, resonance
posttagmezo;afternoon
postuli;to demand, postulate, require
postvango;buttock
postveninta;subsequent
postveninto;afterthought
postveturilo;trailer
poŝlanterno;electric torch
poŝo;pocket
poŝtaĵo;piece of mail
poŝtejo;post office, post-office
poŝtisto;mailman
poŝtkarto;postcard
poŝtmandato;money order
poŝtmarko;stamp, postage stamp
poŝto;mail, post
poŝtoficejo;post-office, post office
poŝtranĉilo;pen-knife *poŝo (pocket) + tranĉilo (knife)
potaĵo;pottery
potenco;power
poto;jug, pot
poŭpo;poop, poopdeck, stern
povi;to be able to
povi fari;to be able to cope with, be able to do
povi tutfari;to be able to cope with, be able to handle
povo;ability
povoscii;to be master of, know
povra;poor
pozi;pose
pozicidetermino;reckoning
pozicio;position
pozisto, pozistino;model
pozitivo;positive
pozo;pose
praarbaro;primeval forest
praavino;great-grandmother
praavo;great-grandfather
prahistorio;prehistory
praktika;practical
praktikado;practice
praktikanto;practitioner
praktiki;to exert, practice
praktiko;practice
prakuzo;second cousin
praloĝanto;native
pramo;ferry
pranepo;greatgrandson
pranevo;grand-nephew
praonklino;great-aunt
praonklo;great-uncle
prapatro;forefather
prapranepo;greatgrandchild
pratipo;prototype
prava;right, true
pravi;to be right
precipa;main, predominant, principal
preciza;accurate, precise
precizeco;exactness, precision
prediki;to preach
predikisto;preacher
prediko;sermon
predikofico;benefice
predo;prey
prefere;preferably, rather
preferi;to prefer
prefikso;prefix
preĝejo;church, kirk
preĝi;to pray
preĝo;prayer
prelegi;to lecture
prelego;lecture
preludo;overture, prelude
premado;pressure
prembutono;push-button
premfiksi;to press, press firmly
premi;to press, oppress, squeeze
premiero;premier, prime minister, first run, first night, première
premii;to award a prize
premio;premium, prize
premo;pressure
premsigno;print, imprint
preni;to get, lay hold of, pick up, take
preni juĝe;lay a distress upon, seize
prenilo;tongs
preno;grasp
prepara;preliminary, preparatory, prior
preparado;preparation
prepari;to prepare
preparmaniero;method of preparation
preparo;preparation
prepozicio;preposition
prerio;prairie
presi;to print
presilo;press
presisto;printer
preskaŭ;almost, nearly
preskribo;regulation
preslitero;type
preso;print
presprovo, presprovaĵo;proof
prestiĝo;glamor, glamour, prestige
preta;finished, ready, through
preteco;readiness
preteksti;to give as an excuse, pretend
preteksto;pretext
pretendema;arrogant
pretendemo;assumingness, overbearingness, presumption, pretence
pretendi;to claim, presume
pretendo;claim, presumption, pretence
preter;beyond, by, past, straight past
preteriranto;passer-by
preteriri;to pass, pass by
preterlasema;careless, neglectful, negligent, remiss
preterlasi;to leave out, omit, overlook
preterpasi;to overtake, pass by
preterveturi;to overhaul, overtake, pass
pretigi;to finish, prepare
pretiĝi;to get ready
preventi;to prevent
preventilo;preservative
prezentado;presentation
prezentata klare;clear, graphic
prezenti;to introduce, perform, present
prezentiĝi forire;check out
prezento;presentation
prezidanto;chairman, president
prezidi;to preside
prezkonjekto;budget, estimate, estimates
prezkonkurado;tender
prezkonkuro;public tender
prezlisto;price list, price-list
prezo;price
preztrompi;to fleece
preztrompisto;extortioner, swindler
preztrompita;taken in
preztrompo;swindle, swindling
pri;to about, concerning, on, upon
pridemandi;to interrogate
prijuĝi;to judge
prilaboro;process
prilumi;to light up, shine upon
primara;primary
primitiva;primitive
primoki;to deride, mock, quip, ridicule
primolo;primrose
princido;prince's son
princino;princess
principo;principle
princlando;principality
princo;prince
prinoti;to annotate *pri (about) + noti (note)
printempo;spring, springtime
printi;to print
printo;print
prioritata vojo;major road
priparolado;discussion
priparoli;to discuss
pripensi;think, think about, reflect on
pripenstempo;time to consider
priplanti;to plant
priplori;mourn
prirabi;rob
prirabo;robbery
prirespondeco;responsibility
prirespondi;to be answerable, be liable, be responsible
priskriba;descriptive
priskribi;to describe
priskribo;description
prismo;prism
pristudi;to study
pristudo;study
priŝteli;rob
pritondi;to prune
pritraktado;treatment
pritraktata;pending
pritrakti;treat
pritraktigi;to bring before, lay before, take up
privata;private
priverŝi;to water
priveturebla;passable, practicable
priveturi;to drive over, ride over
privilegio;privilege
prizono;jail, gaol, prison*
prizorgi;look after
prizorgo;care
pro;because of, for, for sake of, on account of, owing to, through
pro kio;what for, wherefore, why
pro tio;therefore
pro tio ke;because, for the reason that
probabla;probable
problemo;problem, trouble
procedi;to proceed
procedo;procedure, process
procentaĵo;commission
procento;percent, percentage
procesi;go to court, litigate, sue
procesi kontraŭ;sue
procesio;procession
proceso;lawsuit
procezo;process
prociono;raccoon, racoon, washing-bear
produktado;production
produkti;to bear, produce
produkto;product
proedziĝa;by marriage, related by marriage
profesio;profession
profesoro;professor
profetaĵo;prophecy
profeti;forecast, foretell, prophesy
profeto;prophet
profilo;profile
profita;credit, surplus
profiti;to profit
profito;gain, profit
profitparto;share
profunda;deep, profound
profundaĵo, profundeco;depth
profundegaĵo;abyss, gulf, precipice
profundo;depth
profundsenca;abstruse
prognozi;forecast
prognozo;forecast, prognosis
programero;program item, programme item
programi;to program, programme
programo;programme
progresi;to get along, proceed, progress
progreso;progress
projekcii;to project
projekciilo;projector
projekti;to make a project of, plan
projekto;plan, project, scheme
proklamado, proklamaĵo;proclamation
proklami;to issue, proclaim
proklamo;proclamation
prokrastemo;procrastination
prokrasti;to delay, hold in abeyance, postpone, procrastinate, put off
prokrastita;in abeyance
proksima;close, near, nearby, next
proksimaĵo;neighbourhood, vicinity
proksime;close, near, nearby
proksime al, proksime de;close to, near
proksimeco;nearness, proximity
proksimigi;to bring near to
proksimiĝi;to advance, approach, come close, come closer, come on
proksimiĝo;approach
proksimo;proximity
proksimulo;fellow-creature, neighbour
proksimuma;approximate
proksimuma kalkulado;approximation
proksimume;about, approximately
prokuroro;public prosecutor
proletario;proletarian
proletaro;proletariat, the proletariat
proleto;proletarian
prologo;prologue
promenado;stroll, walk
promenanto;stroller
promenejo;promenade
promeni;go for a walk, stroll
promesi;to promise
promeso;promise
promocii;to promote
promocio;promotion
prononci;to pronounce
prononcmaniero;accent *prononci (pronounce) + maniero (manner)
prononco;pronunciation
propagandaĵo;publicity material
propagandi;to advertise, publicize
propagando;propaganda, publicity
propeti;to intercede, plead for
proponado;offer, tender
proponi;to offer, propose, suggest
propono;offer, proposal, suggestion
proporcia;proportional
proporcie kun;proportional to
proporcio;proportion, rate
propozicio;sentence
propra;own, personal
propraĵo;property
propravole;voluntarily
proprieto;ownership
proprulo, proprietulo;owner
propulsakso;drive shaft, driving axle
propulsi;to drive
propulso;drive
proskripciulo;exile
prospekto;prospectus
prospektoro;prospector
prosperi;to be succesful, prosper
prospero;prosperity, success
prostituado;prostitution
prostituejo;bawdy, brothel, house of ill fame, whorehouse
prostitui;to prostitute
prostituitino;prostitute
proteino;protein
protekta;protectionist
protektado;protection
protektanto;patron
protektatino;protégée
protektato;protégé
protekti;to protect
protektisma;protectionist
protekto;protection
protektspirito;guardian angel
protesti;to protest
protesto;protest
protokoli;to give a ticket, take somebody's name
protokolo;minutes, protocol
protono;proton
prototipo;prototype
provaĵo;test, trial
proverbo;proverb
provi;to attempt, test, try
proviantado;catering
provinco;province
provizado;arrival, arrivals, supply
provizaĵestro;purser
provizejo;pantry
provizi;to provide, supply
provizo;supply
provizora;provisional, temporary
provizumado;catering
provizumi;to provision
provo;attempt, test
provoki;to defy, incite, provoke
prozelito;convert, proselyte
prozo;prose
pruda;prudish
prudenta;prudent, reasonable, sensible
prudulo, prudulino;prude
prujna;frosted, hoar
pruno;plum
pruntedoni;to lend
pruntepreni;borrow
pruntepreni de;borrow from
prunti;borrow, lend, loan
prunti al;lend
prunti de;borrow from
prunto;loan
pruo;bow, prow
pruvi;to prove
pruvo;proof, sign, token
psalmo;psalm
pseŭdonimo;pseudonym
psika;psychic
psikiatra;psychiatric
psikiatrio;psychiatry
psikiatro;psychiatrist
psiko;psyche
psikologa;psychological
psikologio;psychology
psikologo;psychologist
publici;to publicize
publika;public
publikeco;publicity
publikigi;to publish, reveal
publikigo;proclamation, publication
publiko;public
pudingo;pudding
pudoro;chaste behaviour, modesty
pudri;powder
pudro;powder, cosmetic powder
pufigi;to puff out
pufiĝi;to puff up
pufo;puff, swelling
pugno;fist
pugnobatalanto;boxer
pugnobati;to punch
pugo;behind, bottom, buttocks
pulio;pulley
pulmo;lung
pulmonario;lungwort, pulmonaria
pulo;flea
pulovero;pullover sweater
pulsi;to pulsate, throb
pulso;pulse
pulvo;gunpowder
pulvora;powdery
pulvorigi;to pulverize
pulvorigita lakto;milk-powder, powdered milk
pulvoro;powder
pumo;cougar, mountain lion, puma
pumpi;to pump
pumpilo;pump
punado;punishment
punĉo;punch
pundo;pound
puni;to punish
puni trafe;chastise, correct, punish
punkti;to punctuate
punkto;dot, period, point, spot
punktokomo;semicolon
puno;punishment
punto;lace
pupitro;desk, lectern, school desk
pupo;doll, puppet
pura;clean, pure
pureco;cleanliness, purity
purgatorio;purgatory
purigi;to clean, cleanse, make clean, purge
purigi la nazon;blow one's nose
puritano;puritan
purpuro, purpura;purple
pusi;to discharge pus
puso;pus
puŝekfunkciigi;to push
puŝi;to push, thrust
puŝiĝi kun;collide with, run into
puŝo;push
puŝveturilo;wheelbarrow
putino;hooker, whore
puto;well
putra;bad, rotten
putreco;rottenness
putrema;perishable
putri;to putrefy, rot
putriĝo;decay
rabaĵo;booty
rabati;to discount, rebate
rabato;abatement, discount, rebate
rabbesto;beast of prey
rabeno;rabbi
rabi;to plunder, rob
rabia;mad, rabid
rabio;rabies
rabisto;robber
raboti;to abrade, plane
rabotilo;plane
raboto;abrasion
racia;rational
racio;reason, logical reasoning
radaro;radar
radiatoro;radiator
radii;to radiate
radikala;radical
radikalo, radikalulo;radical
radiko;root
radio;beam, radio, ray, wireless
radio;beam, ray, radio, wireless
radiofonio;wireless telegraph
radioterapio;radiation
radiuso;radius
rado;wheel
radono;radon
radringo;cover, outer cover
rafaneto;radish
rafano;radish, black radish
rafinejo;refinery
rafini;to refine
raguo;ragout, stew
rajda, rajdanta;mounted
rajdi;to ride
rajdi sur ĉevalo;ride a horse
rajo;skate, stingray, ray
rajti;to may, have the right to
rajtigi;to authorize
rajtigo;authorization
rajto;right
raketo;rocket
rakonti;to narrate, relate, tell
rakonti ŝercojn;gag
rakontintrigo;plot
rakonto;narrative, story, tale
ramfasto;toucan
rampi;to crawl, creep
ranbleki;to croak
ranca;rancid
ranĉo;ranch
rando;border, brim, brink, edge, edging, fringe, rand, rim
ranfemuroj;frog's legs
rango;grade, rank, rate
ranido;tadpole, tad-pole
rano;frog
ranunkolo;buttercup
rapida;fast, quick, rapid, speedy, swift
rapideco;speed
rapidemo;haste
rapidi;go fast, hurry, rush
rapidlimo;speed-limit, speed limit
rapido;speed
rapidtrajno;fast train
rapidumo;gear
rapidumujo, rapidumskatolo;gear-box, gear-case
rapidvagonaro;fast train
rapo;turnip
raporti;to report
raporto;account, record, report
rara;rare, precious
rasismo;racism
raso;breed, race
raspi;to grate, rasp
rasti;to rake
rastilo;rake
ratifi;to ratify
ratifo;ratification
rato;rat
raŭka;hoarse
raŭndo;round
raŭpo;caterpillar
rava;delightful, lovely
ravi;to delight
raviĝinta;delighted
ravino;ravine
ravo;delight
razeno;lawn
razi;to shave
razilo;razor
razisto;barber
razklingo;razor-blade
razpeniko;shaving-brush
reagi;to react, respond
reakcio;reaction
reakiri;to recover
reala;actual, practical, real
realaĵo;reality
reale;genuinely, indeed, really, truly
realigi;to produce
realiĝi;come true
realisto;realist
rebati;to reduce the price
rebonigi;to repair
recenzi;to review
recenzo;review
recepto;prescription, recipe
reciproka;mutual, reciprocal
reciproki;to reciprocate
reciti;to recite
redakcio;editorial office
redakti;to edit
redaktilo;editor
redaktisto;editor
redaktoro;editor
redingoto;frock coat
rediri;to repeat
redoni;to give back, return
redukti;to reduce
ree;again, once more
reelekti;to re-elect
reen;back, backwards
refali;to lapse
referaĵo;scholary report
referenco;reference
reflekti;to reflect
reflektoro;headlight
reflori;to bloom later
reflui;to ebb
refluo;low tide
reformi;to reform
reformo;reform
refortiĝi;convalesce, get stronger, grow stronger, recuperate
refreŝigi;to refresh
refuĝi;to flee back
refuti;to refute
regado;control, reign, rule
regajni;to earn back, regain, win back
regali;to entertain, treat
regali per;treat to
regalo;treat
reganto;ruler
regi;control, govern, restrain, rule
regilo;controller
regimento;regiment
regiono;region
registaro;government
registri;to record, register
registristo;registrar
registro;record, register
reglamento;regulations, rules
regnestro;head of state
regno;realm, state
regreso;decline, going down
regula;even, regular
regularo;regulations, rules
regule;regularly
reguligi;to regulate
regulo;regulation, rule
reĝa;regal, royal
reĝeco;kingship, royalty
reĝimo;regime, régime
reĝino;queen
reĝisoro;stage-manager
reĝlando;kingdom
reĝo;king
reĝustigi;to adjust
reiri;go back, return
rejnlanda vino;hock, Rhine-wine
rejnŝipo;barge, Rhine-barge
reklami;to advertise
reklamo;advertisement
rekomenci;to resume
rekomenda letero;letter of introduction, letter of recommendation
rekomendi;to recommend, register
rekomendinda;recommendable
rekomendo;recommendation
rekompenci;compensate, reward
rekompenco;compensation, reward
rekonebla;recognizable
rekoni;to recognise, recognize
rekonkeri;to recapture
rekordo;record
rekrei;to re-create
rekruti, rekrutigi;to recruit
rekruto;recruit
rekta;direct, straight
rekte antaŭen;straight ahead, straight along
rekte tra;throughout
rektoro;rector
rekvizicii;to exact, requisition, seize
relativa;relative
reliefiĝi;to bevel
religio;religion
relo;rail
remaĉi;to chew the cud
remaĉulo;ruminant
remboato;row-boat, rowing-boat
remburi;to pad, upholster, stuff
rememori;to recall, recollect, remember
rememorigi;to recall
rememoro, rememorigo;recollection
remendi;to give a repeat order for, order a fresh supply of
remi;row
remilo;oar
remisto;rower
remparo;rampart
rendevui;to meet
rendevuo;appointment, date, rendezvous
renegato;deserter, renegate
renkonti;come across, encounter, meet, see
renkonti unu la alian;meet each other, meet one another
renkonto;encounter
reno;kidney
renomo;fame, renown
renovigi;to renew
rento;income, return
rentumo;interest
renversi;to overthrow, turn, turn over, upset
renversi veturile;run into
renversiĝi;turn over
repacigi perkise;kiss and be friends again
repagi;to repay
repertuaro;repertoire
repreni;to abjure
represaĵo;reprint
represi;to reprint
represo;reprint
reprezentanto;representative
reprezenti;to represent
reprodukti;to render, reproduce
reprodukto;reproduction
reptilio;reptile
repuŝi;to repulse
reputacio;reputation
resalti;to rebound
resanigi;to cure, heal, remedy
resaniĝi;to recover
resoni;to echo, resound
resono;echo, resonance
respeguli;to mirror, reflect
respeguliĝo;reflection
respektatesto;accolade
respekti;to respect
respektinda;respectable
respektindeco;deference, devotion, respect
respektiva;respective
respekto;respect
respiriga kuracado;artificial respiration
responda;responsible
respondado;answering, replying
respondaparato;answering machine
respondeca;responsible
respondeco;responsibility
respondi;to answer, reply, respond
respondi al;answer
respondigi;hold responsible
respondkupono;reply coupon
respondo;answer, reply
respublika;republican
respublikano;republican
respubliko;republic
restadejo;abode
restadi;to abide
restado;stay
restaĵejo;dump, refuse dump, tip, rubbish tip
restaĵo;remainder, rest
restanta;abiding, left, left over, remaining
resti;to remain, stay, stay over
resto;remainder, rest
restoracio;restaurant
restrikti;confine, limit, restrict
resumi;to abstract, summarize
resumo;abridgement, abstract, resumé, summary
reteni;to detain, hold back, retain
retiri;to draw back, withdraw
retiriĝi;to retreat
retiriĝo;retreat
reto;net, network
retoriko;oratory, rhetoric
retreto;retreat
retroira;backward, retrograde
retropaŝi;to walk back, walk backwards
retropaŝo;backspace
retrospegulo;driving mirror
returne;back
retuŝi;touch up, retouch
reunuigi;to reunite
reŭmatismo;rheumatism
revado;reverie
reveni;come back, return
reveno;return
revi;to dream, daydream, fancy
revidi;to see again
reviviĝi;to revive
revizii;to revise
revizoro;auditor, government inspector
revo;dream, daydream
revolando;dreamland
revolucio;revolution
revolvero;revolver
revui;to review
revulo;dreamer, day-dreamer, muser
revuo;magazine, periodical, revue
rezervi, rezervigi;to reserve
rezervigo;booking
rezervujo;tank
reziduo;breakdown product
rezignacii;to acquiesce, resign oneself
rezignacio;resignation
rezignemo;acquiescence, resignation, submission
rezigni;to abandon, give up, resign, renounce
rezigni pri;to relinquish, renounce, waive
rezigno;cession, relinquishment, renunciation, surrender
rezino;resin
rezisti;to resist, withstand
rezolucio;motion, resolution
rezonadi postfakte;hold a post-mortem
rezoni pri;to argue, discuss, reason about, reason upon
rezultato;conclusion, effect, result
rezulti;to result
rezultigi;to bring about
rezulto;result
ribelanto;mutineer, rebel
ribelema;insubordinate, rebellious
ribeli;to rebel, revolt
ribelo;mutiny, rebellion, revolt
ribelulo;rebel
ribĝino;black currant gin
ribmarmelado;currant-jam
ribo;currant
ricelanto;fence
ricevanto;consignee, recipient
ricevatesto;receipt
ricevejo;reception room
ricevi;to get, have, receive
ricevi erektiĝon;have an erection
riĉa;rich, wealthy, well-off
riĉeco;abundance, wealth
riĉega;immensely rich, rolling in money
riĉulo;rich man
ridado;laughter
ridegi;roar with laughter
rideti;to smile
rideto;smile
ridi;to laugh
ridinda;ridiculous
ridindigi;to ridicule
rido;laugh
rifo;reef
rifuĝejo;place of refuge, shelter
rifuĝi;take refuge
rifuĝinto;refugee
rifuĝo;refuge
rifuzi;to refuse, reject
rifuzo;refusal
rigardaĉi;to gape at
rigardado;examination
rigardanto;spectator
rigardi;consider, deem, look, look at, regard, view, watch
rigardi fikse;gaze, peer, stare
rigardi kiel;consider, deem, see as
rigardi malsupren;look down
rigardo;look
rigi;to rig
rigida;rigid, stiff*
rigli;bolt, fasten
riglilo;bolt
rigoro;rigor, rigour
rikani;to sneer
rikolti;to harvest
rikolto, rikoltaĵo;harvest
rilatato;antecedent
rilate;as to, as regards, concerning
rilate al;toward, towards, with reference to
rilati;concern, relate
rilato;relation
rimarki;notice
rimarkigi al;bring to the attention of
rimarkigo;remark
rimarkinda;noteworthy, remarkable
rimarko;notice, observation
rimedo;means, remedy, resources
rimeno;strap
rimi, rimigi;to rhyme
rimo;rhyme
ringego;hoop
ringo;ring
rinocero;rhino, rhinoceros
ripari;to fix, repair
riparpago;reparation
ripetado;repetition
ripetfoje;repeatedly
ripeti;to repeat
ripo;rib
ripozejo;resting place, resting-place
ripozi;to repose, rest
ripozo;repose, rest
riproĉa rimarko;observation, remark
riproĉadmono;reproof
riproĉi;to blame, rebuke, reproach, reprove, scold
riproĉi malafable;snap at, snarl at, snub
riproĉinda;reprehensible
riproĉo;reproach
riska;hazardous, risky
riski;to hazard, risk, venture
risko;hazard, risk
risorto;spring
rita;ritual
ritaro;ritual
ritmo;rhythm
rito;rite
rivali;to rival
rivalo;rival
riveli;to develop, reveal
riverenci;bow, curtsy
riverenco;bow, curtsy, obeisance
rivereto;stream
rivero;river
rizkampo;paddy field, ricefield
rizkampulo;paddy-field, rice-field
rizo;rice
rizoplanto;rice plant
rizvino;sake, saki
robo;dress, gown, robe
roboto;robot
rodi;to gnaw
rodo;anchorage, moorage, mooring
rododendro;rhododendron
rojeto;brooklet, rill, rivulet
rojo;brook, stream
roko;rock
rolanto;character
rolo;part, role
romanco;romance
romanisto;fiction writer, novelist
romano;novel
romantika;romantic
romantiko;romanticism
rombo;rhombus
rompi;to break
rompiĝema;breakable, brittle, fragile
rompiĝi;to break
rompita, rompiĝinta;broken
rompŝtelisto;burglar *rompi (break) + ŝteli (steal) + isto
ronda;round
rondigi;round, round off
rondo;circle
rondodanco;round dance
ronĝi;to gnaw, nibble
ronĝulo;rodent
ronki;to snore
roso;dew
rostbifo;roastbeef
rosti, rostiĝi;roast, toast
rostro;proboscis, trunk
rotacio;rotation
roto;gang, squad
roza;pink
rozarbusto;rose-bush
rozario;rosary
rozkolora;pink
rozo;rose
rubando;ribbon
rubejo;garbage dump
rubekolo;robin
rubeno;ruby
rublo;rouble, ruble
rubo;debris, rubbish, rubble
rubriko;column, header
rubujo;garbage can
rubusbero;blackberry
rubuso;blackburry bush, bramble
rudro;rudder
ruĝa;red
ruĝa ribo;currant
ruĝiĝi;to blush
ruĝo;red
ruinigi;to ruin
ruiniĝo;decay
ruino;ruin
rukti;to belch, burp
ruli, rulfari, ruliĝi;roll
rulkurteno;roller-blind
rulo;roll
rulŝuo;rollerskate
rulumi;roll
rumekso;sorrel
rumo;rum
rusta;rusty
rusti;to rust
rusto;rust
rutino;routine
ruza;clever, cunning, sly, smart
ruzaĵo;ruse, stratagem, trick
ruzeco;cunning, subtlety, slyness
ruzo;ruse, trick
sabla;sand, sand-, of sand
sablero;grain of sand
sablo;sand
sablobenko;bank, sandbank
sacerdoto;priest
sadismo;sadism
sadisto;sadist
sagaca;astute, shrewd
sageto;dart
sago;arrow
saĝa;sagacious, sage, wise
saĝo, saĝeco;wisdom
saĝumi;to act wise, show off, split hairs
sako;bag, sack
sakramento;sacrament
sakri;to curse, cuss, swear
sakrilegio;sacrilege
saksofono;saxophone
sakstrato;dead-end street
sakvojo;blind alley, cul-de-sac
sala;salty
sala akvo;salt water
salajro;salary, wage, wages
salamandro;salamander
salamo;salami
salato;salad
saldi;to strike a balance
saldo;balance
salero;grain of salt
sali;to salt
saliko;willow
salikoketo;shrimp
salikoko;prawn
salivi;to salivate
salivo;saliva
salivtuketo;bib
salivumi;to slobber
salmo;salmon
salo;salt
salono;lounge, parlour, salon, sitting room, sitting-room
saltataki;to leap upon, pounce upon, spring upon
salteti;hop
salti;to jump, leap, spring
salto;jump, leap
salujo;saltshaker
salutado;greeting, salutation
saluti;to greet, salute
saluti militiste;salute
saluto;greeting
saluton;hello
salvio;sage
sama;same
sambuko;elder
same;equally, likewise
samideano;fellow-thinker
