LANGUAGE=ESPERANTO
absolute;absolutely
perdo;loss, waste *predre (fr)
perfekta;perfect
perfekte;perfectly
perfidi;to betray
periodo;period
permesi;to allow, to permit
permeso;permission
persekuti;to pursue, to persecute
persona;personal
persono;person
persvadi;to persuade, to convince
petegi;to beg *peti (request) + eg (intensifier) + i
peto;request
peza;heavy
peze;heavily
pezo;weight *peco = piece, pezo = weight
piedbati;to kick *piedo (foot) + bati (hit)
piedo;foot *pied (fr)
pilko;ball
pipo;pipe
plaĉi;to please
plafono;ceiling
plaĝo;beach *plage (fr)
plano;plan
planto;plant
plata;flat *plate
plato;plate
plej;most
plejparte;mostly
plena;full
plendi;to complain
plene;fully
plenigi;to fill *plena (full) + igi (cause to be)
plenumi;to perform, to fulfil, to fulfill
plezuro;pleasure
pli;more
pliigi;to increase *pli (more) + igi (cause to be)
plori;to cry, to sob, to weep
plu;anymore, on
plumo;pen *plume
pluraj;several *plural
pluvivi;to survive
pluvo;rain
po;per
poemo;poem
poeto;poet
poezio;poetry
pojno;wrist *poignet (fr)
polico;police
politika;political
polvo;dust
ponto;bridge *pont (fr)
populara;popular
por;for
pordego;gate *pordo (door) + eg (augmentation) + o
pordo;door, doorway
porti;to bear, to carry, to wear
posedanto;owner *posedi (possess) + anto (agent)
posedi;to possess
posedo;possession
poŝo;pocket *poche (fr)
poste;after, next
postkuri;to run after, to chase *post (after) + kuri (run)
poŝto;mail, post
posttagmezo;afternoon *post (after) + 'tago (day) + meze (middle)' (noon)
postuli;to demand, to require
potenca;powerful *potency
potenco;power *potency
poto;pot
povus;could
pozicio;position
praktiko;practice
precipe;especially, particularly
prefere;rather, preferably
preferi;to prefer
preĝejo;church *preĝi (pray) + ejo (place)
preĝi;to bid, to pray
preĝo;prayer
premi;to press, to squeeze
premita;tight, oppressed *premi = to press
premo;pressure
preni;to take
prepari;to prepare
preskaŭ;almost, nearly, scarcely *presque (fr)
preta;ready
pretendi;to claim *pretender
preterlasi;to miss, to let pass *preter (beyond/last) + lasi (to leave)
prezo;price
pri;about
principo;principle
princo;prince
printempo;spring *printemps (fr)
pripensi;to reflect, think, think about, reflect on
priskribi;to describe
priskribo;description
privata;private
probable;probably
problemo;problem, trouble
procezo;process
produkti;to produce
profesia;professional
profito;benefit, profit
profunda;deep, profound
profunde;deeply, profoundly
profundo;depth
progreso;progress
projekto;project
proksime;near, nearby *proximal
promesi;to promise
proponi;to offer, to propose
propra;own
propraĵo;property
protekti;to protect
protesti;to protest
provi;attempt, to try *provi = attempt, pruvi = prove, 'provisional'
provizi;to provide
provizo;supply, provision
pruvi;to prove *provi = attempt, pruvi = prove
pruvo;proof
publika;public
pugno;fist
pugo;ass, bottom
punkto;point
pura;clean, proper, pure
puŝi;to push, to shove, to thrust
radiko;root
radio;radio
rado;wheel
rajdi;to ride
rakonti;to tell
rakonto;story
rampi;to crawl, to creep
rando;edge *dice behave RANDOmly on their EDGE
rango;rank
rapida;fast, quick, rapid
rapide;quick, quickly, rapidly
rapido;speed
raporti;to report
raporto;report
reago;reaction
reala;real
realaĵo;reality
realigi;to realize, to realise *reala (real) + igi (cause to be)
redoni;to return, to give back *re + doni (give)
reen;back
reĝino;queen *reĝo (king) + in + o
registaro;government *registaro (govenor) + aro (collection)
reĝo;king *regal
regula;regular
regulo;rule
rekoni;to recognize, to recognise
rekordo;record
rekta;straight *rectangle
rekte;directly *rekta (straight) + e
rekuperi;to recover *recuperate
relativa;relative
reliefo;relief
religia;religious
religio;religion
renkonti;to encounter, to meet
renversi;to upset, to turn over, to overturn, to overthrow
reprezenti;to represent
respekto;respect
respondeco;responsibility *respondi (respond) + eco (quality)
respondi;to answer, to reply, to respond
respondo;response
resti;to remain, to stay
restoracio;restaurant
retiriĝi;to retreat, to withdraw
revo;dream, aspiration *rêve (fr)
revoki;to recall, to revoke
revuo;magazine *revue (fr)
rezisti;to resist
rezulto;result
riĉa;rich
ricevi;to receive
ridado;laughter *ridi (laugh) + ado (duration)
rideti;to grin, to smile
ridi;to chuckle, to gleam, to laugh *rire (fr)
rifuzi;to refuse
rigardi;to glance, to look, to peer, to regard, to stare, to watch
rigardo;gaze *regard
rilati;to relate
rilato;relation, relationship
rimarki;to notice *remark
ringo;ring
ripeti;to repeat
ripozo;rest, a rest *repose
risko;risk
ritmo;pace *rhythm
riveli;to reveal
rivereto;stream *rivero (river) + et (diminished) + o
rivero;river
robo;gown, dress
roko;rock
romano;novel, roman
romo;rome
rompi;to break
rompita;broken
ronda;round
ruĝa;red *rouge (fr), j sound not g
ruinigi;to ruin
ruli, ruliĝi;to roll
rusa;russian
sabato;saturday *sabbath
sablo;sand *sable (fr)
saĝa;wise *sage
ŝajne;apparently *ŝajni = to seem
ŝajni;to seem
ŝajnigi;to pretend
sako;bag, sack
salti;to jump, to leap
saluti;to greet, to salute
sama;same
ŝanco;chance, opportunity *remember pronounced SHANTSO
sanga;bloody
ŝanĝi;to change, to shift, to switch
sango;blood
sano;health
ŝarĝi;to load
ŝatata;favorite, favourite *ŝati = like
ŝati;like *schätzen (de)
savi;to spare, to save
sceno;scene
scienco;science
scii;to know
scio;knowledge
scivola;curious
scivolemo;curiosity *scivola (curious) + ema (tendency) + o
scivoli;to wonder
se;if *si (if)
sed;but
seĝo;chair, seat
seka;dry
sekcio;section
sekreto;secret
seksa;sexual
sekso;sex
sekura;safe, secure
sekureco;safety, security
sekvanta;following *sekvi = to follow, sequential
sekvi;to follow *sequence
ŝelo;shell
selo;saddle
semajno;week *semaine (fr)
sen;without *sans (fr)
sendi;to send
senespera;desperate, hopeless
senkulpa;innocent *sen (without) + kulpaj (guilty)
senti;to feel *sentir (feel)
sento;feeling, sense
senvestigi;to strip, to undress *sen (without) + vesti (dress) + igi (cause to be)
sep;seven
serĉi;to search, to seek
ŝerco;joke, gag *a SHIRT SOmetimes has a joke on it
serio;series
serioza;serious
serioze;seriously
servi;to serve
servisto;servant *servi (serve) + isto (person)
servo;service
ses;six
sezono;season
ŝi;she
ŝia;her, hers
sidi;to sit
sidis;seated, sat
signalo;signal
signifi;to mean
signifo;meaning
signo;sign
silenta;silent
silente;silently
silento;silence
silko;silk
simila;similar
simpla;simple
simple;merely, simply
sinjorino;lady, mrs *sinjoro (mr) + in + o
sinjoro;gentleman, lord, mr, sir *señor
sinteno;attitude
ŝipanaro;crew *ŝipano (crew member) + aro (collection of)
ŝipo;ship, vessel
ŝirmo;shelter
sistemo;system
situacio;situation
skatolo;box
sklavo;slave
skrapi;to scratch, to scrape
skribi;to write
skribotablo;desk
skui;to shake *don't SQUEEze someone's hand too hard when you give them a handshake
ŝlosi;to lock
ŝlosilo;key *ŝlosi (to lock) + ilo (tool)
ŝnuro;rope
socia;social
socio;society
sofo;couch, sofa
ŝoforo;driver *chauffeur
ŝoko;shock
sola;single
soldato;soldier *soldat (fr)
sole;alone
soleca;lonely
solida;solid
solvi;to solve
somero;summer
sono;sound
sonorilo;bell
sorto;fate *sort (fr) elirejo = exit, speco = type/sort
sovaĝa;wild *sauvage (fr)
spaco;space
ŝpari;to save *spare
speciala;special
spegulo;mirror *spiegel (de)
spektantaro;audience, public
sperto;experience *sperto = experience, sporto = sport
spiri;to breathe
spirito;spirit
spiro;breath
spuri;trace
spuro;track, trail
stabo;staff *Stab (de)
stacio;station
ŝtalo;steel
stari;to stand
starigi;to settle, establish
ŝtato;state
ŝteli;to steal
ŝtelo;theft
stelo;star
stilo;style
stiri;to drive, to steer
stomako;stomach
ŝtono;stone
ŝtormo;storm
stranga;strange
strato;street
streĉi;to strain, to stretch
streko;stroke
strukturo;structure
studento;student
studi;to study
stulta;silly, stupid *you look silly in a pair of stilts
stultulo;fool
ŝtuparo;stairs, staircase *ŝtupo (step) + aro (collective)
sub;under
sube;below
subita;sudden
subite;suddenly
subjekto;subject
subteni;to maintain, to support
sude;south
suferi;to suffer
sufiĉe;enough, fairly
sugesti;to suggest
sukcesa;successful
sukcesi;to succeed
sukceso;success
sulki la frunton;to frown
ŝultro;shoulder
ŝultrotiri;to shrug
suno;sun
ŝuo;shoe
supo;soup
supozi;to assume, to suppose
supre;above
supren;up, upstairs
supro;top
sur;upon, on
surfaco;surface
surprizi;to surprise
suspekti;to suspect
suspekto;suspicion
suspiri;to sigh *spiri = to breathe
ŝveli;to swell
ŝvito;sweat
tablo;table
tagiĝo;dawn *tago (day) + iĝ (become) + o
tago;day
talio;waist *taille (fr)
tamen;however, though *The Alternative Method Expressing Negation
tasko;task
taso;cup *tasse (fr)
teamo;team *there's no I in team but there is amo
teksto;text
telefono;phone, telephone *fono = background, fonto = source, telefono = telephone
televido;television
temo;issue
templo;temple
tempo;time
tendaro;camp *tendo (tent) + aro (collection of)
tendenci;to tend *tendency
tendo;tent
teni;to hold, to keep *tenir (fr)
teo;tea, thee
teorio;theory
termino;term
tero;earth, land
teroro;terror
terura;awful, terrible
testo;test
tia;such
tiam;then *A.M. denotes time
tie;there *E denotes place
tiel;so, thus *Thus In Esperanto Language (TIEL)
timegi;to terrify, to petrify, to frighten greatly
timema;afraid, timid
timigi;to frighten, to scare
timo;fear
tio;that
tiri;to pull *tirer (fr)
tiuj;those
toleri;to tolerate, to endure, to bear
tombo;grave, tomb
tono;tone
tordi;to twist *tordre (fr)
tra;through *tra = through, tre = highly/very
trabo;beam, pole, girder
tradicio;tradition
trairejo;passage *trairi (to pass through) + ejo (place)
trajno;train
trajto;feature, trait
trakti;to treat
tranĉi;to cut *trench
tranĉilo;knife *tranĉi (cut) + ilo (tool)
trankvila;calm, quiet
trankviligi;to relieve, to calm down *trankvila (calm/quiet) + igi (cause to be)
trans;across
transiri;to cross
tre;highly, very *tra = through, tre = highly/very
tremi;to tremble
treni;to drag *traîner (fr)
tri;three
tria;third *tri (3) + a
tridek;thirty *tri (3) + dek (10)
trinkejo;bar, pub *trinki (drink) + ejo (place)
trinki;to drink, to sip
trovi;to find
trunko;trunk
truo;hole *trou (fr)
tuj;immediately, instantly
tuja;instant, immediate *tuj = immediately
tuko;cloth
turni;to turn
turniĝi;to spin *turni (turn) + iĝi (become)
turo;tower
tuŝi;to affect, to touch
tuta;entire, total, whole
tute;altogether, completely, entirely, quite, totally
ulo;fellow, guy *note this is an informal term
uniformo;uniform
unu;one
unue;first, firstly
unufoje;once
urbo;city, town *urban
usona;american
uzi;to employ, to use
vagi;to wander *vagabond
valo;valley
valori;to be worth
valoro;value
vango;cheek
varma;hot, warm
varmo;heat, warmth
varo;sort, commodity
vasta;vast
veka;awake
vekiĝi;to wake *veka (awake) + iĝi (become)
veli;to sail
vendejo;store *vendi (sell) + ejo (place)
vendi;to sell
veni;to come
venteto;breeze *vento (wind) + et (diminished) + o
vento;wind
ventro;belly *ventral
vera;true
verda;green *verdant
vere;really, truly
verkisto;writer *verko (work) + isto (person)
vero;truth *verification
verŝajne;likely, probably
verŝi;to pour, to shed
versio;version
vespermanĝo;dinner *vespero (evening) + manĝi (eat) + o
vespero;evening
vesti;to dress, to clothe
vestoj;clothes
vetero;weather
veti;to bet
vetkuro;race
veturilo;vehicle *veturi (to go by vehicle) + ilo (tool)
vi mem;yourself
vi;you *vous (fr)
via;thy, your *vi (you) + a
viando;meat *viande (fr)
vico;row
videbla;visible
vidi;to see
vido;sight, view
viktimo;victim
vilaĝo;village
vino;wine *vin (fr)
vintro;winter
vipi;to whip
vira;male
virino;woman *viro (man) + ino (female)
viro;man, male person *viro = man, vivo = life
virto;virtue
viŝi;to wipe *wischen (de)
vivanta;alive, living
vivi;to live
vivo;life
vizaĝo;face
vizio;vision
vizitanto;visitor *viziti (visit) + anto (agent)
viziti;to visit
voĉo;voice
vojaĝi;to travel
vojaĝo;journey, trip, voyage
vojo;road, way
voki;to call
volanta;willing
voli;to want
volumo;volume
vorto;word
vosto;tail
vundi;to hurt, to wound
vundo;injury, wound
zono;belt, zone
zorga;careful *zorgi = to care
zorge;carefully *zorgi = to care
zorgi;to care, to worry
